state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,I-95,5532,US-130 N,EXIT,US-130 N,"Burlington, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%20/5532,40.099892,-74.78689,http://maps.google.com/maps?t=m&q=loc:40.099892+-74.78689,Northbound
New Jersey,I-95,47297,US 130,EXIT,US 130,"Burlington, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%20/47297,40.102638,-74.78704,http://maps.google.com/maps?t=m&q=loc:40.102638+-74.78704,Northbound
New Jersey,I-95,47298,New Jersey Turnpike,EXIT,New Jersey Turnpike,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%20/47298,40.096365,-74.739482,http://maps.google.com/maps?t=m&q=loc:40.096365+-74.739482,Northbound
New Jersey,I-95,47299,Exit 7,EXIT 7,US-206 N; Bordentown; Trenton,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%207/47299,40.122685,-74.701619,http://maps.google.com/maps?t=m&q=loc:40.122685+-74.701619,Northbound
New Jersey,I-95,47300,Exit 7,EXIT 7,US-206 S,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%207/47300,40.123735,-74.704719,http://maps.google.com/maps?t=m&q=loc:40.123735+-74.704719,Northbound
New Jersey,I-95,47301,Woodrow Wilson Service Plaza,SERVICE PLAZA,Woodrow Wilson Service Plaza,"Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Service%20Plaza/47301,40.168598,-74.643315,http://maps.google.com/maps?t=m&q=loc:40.168598+-74.643315,Northbound
New Jersey,I-95,47302,Exit 7A,EXIT 7A,"I 195;I 195
          (MM: 7.0)","Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%207A/47302,40.187871,-74.609735,http://maps.google.com/maps?t=m&q=loc:40.187871+-74.609735,Northbound
New Jersey,I-95,47304,Exit 8,EXIT 8,"NJ 133
          (MM: 8.0)","Hightstown, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%208/47304,40.260231,-74.512198,http://maps.google.com/maps?t=m&q=loc:40.260231+-74.512198,Northbound
New Jersey,I-95,47306,Temporarily Closed - Molly Pitcher Service Area,SERVICE PLAZA,Temporarily Closed - Molly Pitcher Service Area,"Cranbury, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Service%20Plaza/47306,40.319402,-74.486752,http://maps.google.com/maps?t=m&q=loc:40.319402+-74.486752,Northbound
New Jersey,I-95,47307,Exit 8A,EXIT 8A,Jamesburg; Cranbury,"Jamesburg, New Jersey",https://www.iexitapp.com/New%20Jersey/I-95/Exit%208A/47307,40.345954,-74.47513,http://maps.google.com/maps?t=m&q=loc:40.345954+-74.47513,Northbound
