state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,New Jersey Turnpike,4439,US-40; Atlantic City,EXIT,US-40; Atlantic City,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4439,39.679204,-75.480656,http://maps.google.com/maps?t=m&q=loc:39.679204+-75.480656,Northbound
New Jersey,New Jersey Turnpike,4440,Toll,TOLL BOOTH,Toll,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Toll/4440,39.68469,-75.451948,http://maps.google.com/maps?t=m&q=loc:39.68469+-75.451948,Northbound
New Jersey,New Jersey Turnpike,4441,John Fenwick Service Area,SERVICE PLAZA,John Fenwick Service Area,"Pedricktown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4441,39.695685,-75.399805,http://maps.google.com/maps?t=m&q=loc:39.695685+-75.399805,Northbound
New Jersey,New Jersey Turnpike,4442,Exit 2,EXIT 2,US 322;(536),"Swedesboro, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%202/4442,39.752665,-75.277631,http://maps.google.com/maps?t=m&q=loc:39.752665+-75.277631,Northbound
New Jersey,New Jersey Turnpike,4443,Exit 3,EXIT 3,NJ-168; Philadelphia; Camden,"Runnemede, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%203/4443,39.85945,-75.075763,http://maps.google.com/maps?t=m&q=loc:39.85945+-75.075763,Northbound
New Jersey,New Jersey Turnpike,4444,Exit 4,EXIT 4,NJ 73,"Mt Laurel, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%204/4444,39.931531,-74.952462,http://maps.google.com/maps?t=m&q=loc:39.931531+-74.952462,Northbound
New Jersey,New Jersey Turnpike,4445,James Fenimore Cooper Service Area,SERVICE PLAZA,James Fenimore Cooper Service Area,"Mt Laurel, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4445,39.978895,-74.894055,http://maps.google.com/maps?t=m&q=loc:39.978895+-74.894055,Northbound
New Jersey,New Jersey Turnpike,4446,Exit 5,EXIT 5,Burlington Mt Holly,"Mt Holly, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%205/4446,40.023362,-74.824653,http://maps.google.com/maps?t=m&q=loc:40.023362+-74.824653,Northbound
New Jersey,New Jersey Turnpike,47120,Exit 7,EXIT 7,US-206 N; Bordentown; Trenton,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207/47120,40.124308,-74.700027,http://maps.google.com/maps?t=m&q=loc:40.124308+-74.700027,Northbound
New Jersey,New Jersey Turnpike,47121,Exit 7,EXIT 7,US-206 S,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207/47121,40.123735,-74.704719,http://maps.google.com/maps?t=m&q=loc:40.123735+-74.704719,Northbound
New Jersey,New Jersey Turnpike,47122,Woodrow Wilson Service Plaza,SERVICE PLAZA,Woodrow Wilson Service Plaza,"Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47122,40.167787,-74.645096,http://maps.google.com/maps?t=m&q=loc:40.167787+-74.645096,Northbound
New Jersey,New Jersey Turnpike,47123,Exit 7A,EXIT 7A,"I 195;I 195
          (MM: 7.0)","Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207A/47123,40.188004,-74.610193,http://maps.google.com/maps?t=m&q=loc:40.188004+-74.610193,Northbound
New Jersey,New Jersey Turnpike,47125,Exit 8,EXIT 8,"NJ 133
          (MM: 8.0)","Hightstown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208/47125,40.25929,-74.513,http://maps.google.com/maps?t=m&q=loc:40.25929+-74.513,Northbound
New Jersey,New Jersey Turnpike,76838,Temporarily Closed - Molly Pitcher Service Plaza,SERVICE PLAZA,Temporarily Closed - Molly Pitcher Service Plaza,"Cranbury, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/76838,40.319289,-74.486757,http://maps.google.com/maps?t=m&q=loc:40.319289+-74.486757,Northbound
New Jersey,New Jersey Turnpike,47127,Exit 8A,EXIT 8A,Jamesburg; Cranbury,"Jamesburg, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208A/47127,40.343621,-74.476522,http://maps.google.com/maps?t=m&q=loc:40.343621+-74.476522,Northbound
New Jersey,New Jersey Turnpike,47128,Joyce Kilmer Service Area,SERVICE PLAZA,Joyce Kilmer Service Area,"East Brunswick, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47128,40.410921,-74.448729,http://maps.google.com/maps?t=m&q=loc:40.410921+-74.448729,Northbound
New Jersey,New Jersey Turnpike,47129,Exit 9,EXIT 9,U.S. 1; New Brunswick,"East Brunswick, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%209/47129,40.473986,-74.408004,http://maps.google.com/maps?t=m&q=loc:40.473986+-74.408004,Northbound
New Jersey,New Jersey Turnpike,47131,Exit 10,EXIT 10,"NJ 440;I 287
          (MM: 10.0)","Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47131,40.52322,-74.34799,http://maps.google.com/maps?t=m&q=loc:40.52322+-74.34799,Northbound
New Jersey,New Jersey Turnpike,47132,Exit 10,EXIT 10,I-287; NJ-440; Perth Amboy; Metuchen; Edison Township,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47132,40.52322,-74.34799,http://maps.google.com/maps?t=m&q=loc:40.52322+-74.34799,Northbound
New Jersey,New Jersey Turnpike,47133,Exit 10,EXIT 10,I-95,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47133,40.525219,-74.337962,http://maps.google.com/maps?t=m&q=loc:40.525219+-74.337962,Northbound
New Jersey,New Jersey Turnpike,47135,Exit 11,EXIT 11,"GSP;US 9;GSP
          (MM: 11.0)","Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47135,40.542135,-74.299848,http://maps.google.com/maps?t=m&q=loc:40.542135+-74.299848,Northbound
New Jersey,New Jersey Turnpike,47136,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47136,40.542135,-74.299848,http://maps.google.com/maps?t=m&q=loc:40.542135+-74.299848,Northbound
New Jersey,New Jersey Turnpike,47137,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47137,40.535796,-74.303955,http://maps.google.com/maps?t=m&q=loc:40.535796+-74.303955,Northbound
New Jersey,New Jersey Turnpike,47138,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47138,40.534734,-74.302536,http://maps.google.com/maps?t=m&q=loc:40.534734+-74.302536,Northbound
New Jersey,New Jersey Turnpike,47140,Grover Cleveland Service Plaza,SERVICE PLAZA,Grover Cleveland Service Plaza,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/HMSHost%20Service%20Plaza/47140,40.552759,-74.271518,http://maps.google.com/maps?t=m&q=loc:40.552759+-74.271518,Northbound
New Jersey,New Jersey Turnpike,47141,Exit 12,EXIT 12,Carteret Rahway,"Carteret, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2012/47141,40.591215,-74.236586,http://maps.google.com/maps?t=m&q=loc:40.591215+-74.236586,Northbound
New Jersey,New Jersey Turnpike,47143,Exit 13,EXIT 13,Interstate 278; Elizabeth; Goethals Br; Verrazano Br,"Linden, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013/47143,40.630631,-74.212328,http://maps.google.com/maps?t=m&q=loc:40.630631+-74.212328,Northbound
New Jersey,New Jersey Turnpike,47145,Exit 13A,EXIT 13A,"NJ 81
          (MM: 13.0)","Elizabeth, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013A/47145,40.661062,-74.185111,http://maps.google.com/maps?t=m&q=loc:40.661062+-74.185111,Northbound
New Jersey,New Jersey Turnpike,4463,Exit 15W,EXIT 15W,"I 280
          (MM: 15.0)","Kearny, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2015W/4463,40.751247,-74.119348,http://maps.google.com/maps?t=m&q=loc:40.751247+-74.119348,Northbound
New Jersey,New Jersey Turnpike,4464,Exit 16W,EXIT 16W,"NJ 3
          (MM: 16.0)","East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/4464,40.797042,-74.079176,http://maps.google.com/maps?t=m&q=loc:40.797042+-74.079176,Northbound
New Jersey,New Jersey Turnpike,47151,Exit 16W,EXIT 16W,New Jersey 3 E; Secaucus,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/47151,40.797042,-74.079176,http://maps.google.com/maps?t=m&q=loc:40.797042+-74.079176,Northbound
New Jersey,New Jersey Turnpike,47152,Exit 16W,EXIT 16W,New Jersey 3; Secaucus; Rutherford; Sports Complex,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/47152,40.804449,-74.080271,http://maps.google.com/maps?t=m&q=loc:40.804449+-74.080271,Northbound
New Jersey,New Jersey Turnpike,4465,Toll,TOLL BOOTH,Toll,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Toll/4465,40.808976,-74.06396,http://maps.google.com/maps?t=m&q=loc:40.808976+-74.06396,Northbound
New Jersey,New Jersey Turnpike,4466,Vince Lombardi Travel Plaza,SERVICE PLAZA,Vince Lombardi Travel Plaza,"Ridgefield, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4466,40.827631,-74.028683,http://maps.google.com/maps?t=m&q=loc:40.827631+-74.028683,Northbound
New Jersey,New Jersey Turnpike,4468,North,EXIT,North,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4468,40.842389,-74.017529,http://maps.google.com/maps?t=m&q=loc:40.842389+-74.017529,Northbound
New Jersey,New Jersey Turnpike,47154,North,EXIT,North,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/47154,40.84465,-74.016911,http://maps.google.com/maps?t=m&q=loc:40.84465+-74.016911,Northbound
New Jersey,New Jersey Turnpike,4469,Exit 68,EXIT 68,Challenger Rd,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2068/4469,40.85263,-74.014585,http://maps.google.com/maps?t=m&q=loc:40.85263+-74.014585,Northbound
New Jersey,New Jersey Turnpike,4470,I 95,EXIT,I 95,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4470,40.855422,-74.013228,http://maps.google.com/maps?t=m&q=loc:40.855422+-74.013228,Northbound
