state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,New Jersey Turnpike,4439,US-40; Atlantic City,EXIT,US-40; Atlantic City,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4439,39.679204,-75.480656,http://maps.google.com/maps?t=m&q=loc:39.679204+-75.480656,Northbound
New Jersey,New Jersey Turnpike,4440,Toll,TOLL BOOTH,Toll,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Toll/4440,39.68469,-75.451948,http://maps.google.com/maps?t=m&q=loc:39.68469+-75.451948,Northbound
New Jersey,New Jersey Turnpike,4441,John Fenwick Service Area,SERVICE PLAZA,John Fenwick Service Area,"Pedricktown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4441,39.695685,-75.399805,http://maps.google.com/maps?t=m&q=loc:39.695685+-75.399805,Northbound
New Jersey,New Jersey Turnpike,4442,Exit 2,EXIT 2,US 322;(536),"Swedesboro, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%202/4442,39.752665,-75.277631,http://maps.google.com/maps?t=m&q=loc:39.752665+-75.277631,Northbound
New Jersey,New Jersey Turnpike,4443,Exit 3,EXIT 3,NJ-168; Philadelphia; Camden,"Runnemede, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%203/4443,39.85945,-75.075763,http://maps.google.com/maps?t=m&q=loc:39.85945+-75.075763,Northbound
New Jersey,New Jersey Turnpike,4444,Exit 4,EXIT 4,NJ 73,"Mt Laurel, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%204/4444,39.931531,-74.952462,http://maps.google.com/maps?t=m&q=loc:39.931531+-74.952462,Northbound
New Jersey,New Jersey Turnpike,4445,James Fenimore Cooper Service Area,SERVICE PLAZA,James Fenimore Cooper Service Area,"Mt Laurel, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4445,39.978895,-74.894055,http://maps.google.com/maps?t=m&q=loc:39.978895+-74.894055,Northbound
New Jersey,New Jersey Turnpike,4446,Exit 5,EXIT 5,Burlington Mt Holly,"Mt Holly, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%205/4446,40.023362,-74.824653,http://maps.google.com/maps?t=m&q=loc:40.023362+-74.824653,Northbound
New Jersey,New Jersey Turnpike,47120,Exit 7,EXIT 7,US-206 N; Bordentown; Trenton,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207/47120,40.124308,-74.700027,http://maps.google.com/maps?t=m&q=loc:40.124308+-74.700027,Northbound
New Jersey,New Jersey Turnpike,47121,Exit 7,EXIT 7,US-206 S,"Bordentown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207/47121,40.123735,-74.704719,http://maps.google.com/maps?t=m&q=loc:40.123735+-74.704719,Northbound
New Jersey,New Jersey Turnpike,47122,Woodrow Wilson Service Plaza,SERVICE PLAZA,Woodrow Wilson Service Plaza,"Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47122,40.167787,-74.645096,http://maps.google.com/maps?t=m&q=loc:40.167787+-74.645096,Northbound
New Jersey,New Jersey Turnpike,47123,Exit 7A,EXIT 7A,"I 195;I 195
          (MM: 7.0)","Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207A/47123,40.188004,-74.610193,http://maps.google.com/maps?t=m&q=loc:40.188004+-74.610193,Northbound
New Jersey,New Jersey Turnpike,47125,Exit 8,EXIT 8,"NJ 133
          (MM: 8.0)","Hightstown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208/47125,40.25929,-74.513,http://maps.google.com/maps?t=m&q=loc:40.25929+-74.513,Northbound
New Jersey,New Jersey Turnpike,76838,Temporarily Closed - Molly Pitcher Service Plaza,SERVICE PLAZA,Temporarily Closed - Molly Pitcher Service Plaza,"Cranbury, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/76838,40.319289,-74.486757,http://maps.google.com/maps?t=m&q=loc:40.319289+-74.486757,Northbound
New Jersey,New Jersey Turnpike,47127,Exit 8A,EXIT 8A,Jamesburg; Cranbury,"Jamesburg, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208A/47127,40.343621,-74.476522,http://maps.google.com/maps?t=m&q=loc:40.343621+-74.476522,Northbound
New Jersey,New Jersey Turnpike,47128,Joyce Kilmer Service Area,SERVICE PLAZA,Joyce Kilmer Service Area,"East Brunswick, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47128,40.410921,-74.448729,http://maps.google.com/maps?t=m&q=loc:40.410921+-74.448729,Northbound
New Jersey,New Jersey Turnpike,47129,Exit 9,EXIT 9,U.S. 1; New Brunswick,"East Brunswick, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%209/47129,40.473986,-74.408004,http://maps.google.com/maps?t=m&q=loc:40.473986+-74.408004,Northbound
New Jersey,New Jersey Turnpike,47131,Exit 10,EXIT 10,"NJ 440;I 287
          (MM: 10.0)","Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47131,40.52322,-74.34799,http://maps.google.com/maps?t=m&q=loc:40.52322+-74.34799,Northbound
New Jersey,New Jersey Turnpike,47132,Exit 10,EXIT 10,I-287; NJ-440; Perth Amboy; Metuchen; Edison Township,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47132,40.52322,-74.34799,http://maps.google.com/maps?t=m&q=loc:40.52322+-74.34799,Northbound
New Jersey,New Jersey Turnpike,47133,Exit 10,EXIT 10,I-95,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47133,40.525219,-74.337962,http://maps.google.com/maps?t=m&q=loc:40.525219+-74.337962,Northbound
New Jersey,New Jersey Turnpike,47135,Exit 11,EXIT 11,"GSP;US 9;GSP
          (MM: 11.0)","Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47135,40.542135,-74.299848,http://maps.google.com/maps?t=m&q=loc:40.542135+-74.299848,Northbound
New Jersey,New Jersey Turnpike,47136,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47136,40.542135,-74.299848,http://maps.google.com/maps?t=m&q=loc:40.542135+-74.299848,Northbound
New Jersey,New Jersey Turnpike,47137,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47137,40.535796,-74.303955,http://maps.google.com/maps?t=m&q=loc:40.535796+-74.303955,Northbound
New Jersey,New Jersey Turnpike,47138,Exit 11,EXIT 11,Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47138,40.534734,-74.302536,http://maps.google.com/maps?t=m&q=loc:40.534734+-74.302536,Northbound
New Jersey,New Jersey Turnpike,47140,Grover Cleveland Service Plaza,SERVICE PLAZA,Grover Cleveland Service Plaza,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/HMSHost%20Service%20Plaza/47140,40.552759,-74.271518,http://maps.google.com/maps?t=m&q=loc:40.552759+-74.271518,Northbound
New Jersey,New Jersey Turnpike,47141,Exit 12,EXIT 12,Carteret Rahway,"Carteret, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2012/47141,40.591215,-74.236586,http://maps.google.com/maps?t=m&q=loc:40.591215+-74.236586,Northbound
New Jersey,New Jersey Turnpike,47143,Exit 13,EXIT 13,Interstate 278; Elizabeth; Goethals Br; Verrazano Br,"Linden, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013/47143,40.630631,-74.212328,http://maps.google.com/maps?t=m&q=loc:40.630631+-74.212328,Northbound
New Jersey,New Jersey Turnpike,47145,Exit 13A,EXIT 13A,"NJ 81
          (MM: 13.0)","Elizabeth, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013A/47145,40.661062,-74.185111,http://maps.google.com/maps?t=m&q=loc:40.661062+-74.185111,Northbound
New Jersey,New Jersey Turnpike,4463,Exit 15W,EXIT 15W,"I 280
          (MM: 15.0)","Kearny, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2015W/4463,40.751247,-74.119348,http://maps.google.com/maps?t=m&q=loc:40.751247+-74.119348,Northbound
New Jersey,New Jersey Turnpike,4464,Exit 16W,EXIT 16W,"NJ 3
          (MM: 16.0)","East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/4464,40.797042,-74.079176,http://maps.google.com/maps?t=m&q=loc:40.797042+-74.079176,Northbound
New Jersey,New Jersey Turnpike,47151,Exit 16W,EXIT 16W,New Jersey 3 E; Secaucus,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/47151,40.797042,-74.079176,http://maps.google.com/maps?t=m&q=loc:40.797042+-74.079176,Northbound
New Jersey,New Jersey Turnpike,47152,Exit 16W,EXIT 16W,New Jersey 3; Secaucus; Rutherford; Sports Complex,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2016W/47152,40.804449,-74.080271,http://maps.google.com/maps?t=m&q=loc:40.804449+-74.080271,Northbound
New Jersey,New Jersey Turnpike,4465,Toll,TOLL BOOTH,Toll,"East Rutherford, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Toll/4465,40.808976,-74.06396,http://maps.google.com/maps?t=m&q=loc:40.808976+-74.06396,Northbound
New Jersey,New Jersey Turnpike,4466,Vince Lombardi Travel Plaza,SERVICE PLAZA,Vince Lombardi Travel Plaza,"Ridgefield, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4466,40.827631,-74.028683,http://maps.google.com/maps?t=m&q=loc:40.827631+-74.028683,Northbound
New Jersey,New Jersey Turnpike,4468,North,EXIT,North,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4468,40.842389,-74.017529,http://maps.google.com/maps?t=m&q=loc:40.842389+-74.017529,Northbound
New Jersey,New Jersey Turnpike,47154,North,EXIT,North,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/47154,40.84465,-74.016911,http://maps.google.com/maps?t=m&q=loc:40.84465+-74.016911,Northbound
New Jersey,New Jersey Turnpike,4469,Exit 68,EXIT 68,Challenger Rd,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2068/4469,40.85263,-74.014585,http://maps.google.com/maps?t=m&q=loc:40.85263+-74.014585,Northbound
New Jersey,New Jersey Turnpike,4470,I 95,EXIT,I 95,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4470,40.855422,-74.013228,http://maps.google.com/maps?t=m&q=loc:40.855422+-74.013228,Northbound
New Jersey,New Jersey Turnpike,47155,Exit 68,EXIT 68,U.S. 46; The Ridgefields,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2068/47155,40.852904,-74.015159,http://maps.google.com/maps?t=m&q=loc:40.852904+-74.015159,Southbound
New Jersey,New Jersey Turnpike,47156,Exit 68,EXIT 68,U.S. 46 W,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2068/47156,40.849947,-74.016811,http://maps.google.com/maps?t=m&q=loc:40.849947+-74.016811,Southbound
New Jersey,New Jersey Turnpike,47157,Exit 68,EXIT 68,U.S. 46 E,"Ridgefield Park, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2068/47157,40.849298,-74.01718,http://maps.google.com/maps?t=m&q=loc:40.849298+-74.01718,Southbound
New Jersey,New Jersey Turnpike,47159,Vince Lombardi Travel Plaza,SERVICE PLAZA,Vince Lombardi Travel Plaza,"Ridgefield, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47159,40.827716,-74.025782,http://maps.google.com/maps?t=m&q=loc:40.827716+-74.025782,Southbound
New Jersey,New Jersey Turnpike,4472,Exit 17,EXIT 17,"NJ 495
          (MM: 17.0)","Secaucus, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2017/4472,40.790116,-74.047382,http://maps.google.com/maps?t=m&q=loc:40.790116+-74.047382,Southbound
New Jersey,New Jersey Turnpike,47160,Exit 17,EXIT 17,New Jersey 3; Secaucus,"Secaucus, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2017/47160,40.790116,-74.047382,http://maps.google.com/maps?t=m&q=loc:40.790116+-74.047382,Southbound
New Jersey,New Jersey Turnpike,4473,Alexander Hamilton Service Area,SERVICE PLAZA,Alexander Hamilton Service Area,"Secaucus, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4473,40.771803,-74.061811,http://maps.google.com/maps?t=m&q=loc:40.771803+-74.061811,Southbound
New Jersey,New Jersey Turnpike,4474,Exit 15X,EXIT 15X,Secaucus,"Secaucus, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2015X/4474,40.762237,-74.075998,http://maps.google.com/maps?t=m&q=loc:40.762237+-74.075998,Southbound
New Jersey,New Jersey Turnpike,4475,Exit 15W,EXIT 15W,"I 280
          (MM: 15.0)","Kearny, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2015W/4475,40.753665,-74.110526,http://maps.google.com/maps?t=m&q=loc:40.753665+-74.110526,Southbound
New Jersey,New Jersey Turnpike,4476,Exit 15E,EXIT 15E,Jersey City; Newark,"Newark, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2015E/4476,40.73273,-74.12437,http://maps.google.com/maps?t=m&q=loc:40.73273+-74.12437,Southbound
New Jersey,New Jersey Turnpike,47164,Exit 13A,EXIT 13A,"NJ 81
          (MM: 13.0)","Elizabeth, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013A/47164,40.671082,-74.17726,http://maps.google.com/maps?t=m&q=loc:40.671082+-74.17726,Southbound
New Jersey,New Jersey Turnpike,47167,Exit 13,EXIT 13,I-278; Elizabeth; Verrazano Bridge; Goethals Bridge,"Linden, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2013/47167,40.648414,-74.201885,http://maps.google.com/maps?t=m&q=loc:40.648414+-74.201885,Southbound
New Jersey,New Jersey Turnpike,47169,Exit 12,EXIT 12,Carteret Rahway,"Carteret, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2012/47169,40.599824,-74.232166,http://maps.google.com/maps?t=m&q=loc:40.599824+-74.232166,Southbound
New Jersey,New Jersey Turnpike,47170,Thomas Edison Service Area,SERVICE PLAZA,Thomas Edison Service Area,"Port Reading, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/HMSHost%20Service%20Plaza/47170,40.562878,-74.260291,http://maps.google.com/maps?t=m&q=loc:40.562878+-74.260291,Southbound
New Jersey,New Jersey Turnpike,47171,Exit 11,EXIT 11,"GSP;US 9;GSP
          (MM: 11.0)","Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47171,40.547546,-74.281326,http://maps.google.com/maps?t=m&q=loc:40.547546+-74.281326,Southbound
New Jersey,New Jersey Turnpike,47172,Exit 11,EXIT 11,U.S. 9; Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47172,40.547546,-74.281326,http://maps.google.com/maps?t=m&q=loc:40.547546+-74.281326,Southbound
New Jersey,New Jersey Turnpike,47173,Exit 11,EXIT 11,U.S. 9; Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47173,40.534734,-74.302536,http://maps.google.com/maps?t=m&q=loc:40.534734+-74.302536,Southbound
New Jersey,New Jersey Turnpike,47174,Exit 11,EXIT 11,U.S. 9; Woodbridge,"Woodbridge, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2011/47174,40.535796,-74.303955,http://maps.google.com/maps?t=m&q=loc:40.535796+-74.303955,Southbound
New Jersey,New Jersey Turnpike,47176,Exit 10,EXIT 10,"NJ 440;I 287
          (MM: 10.0)","Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47176,40.529369,-74.336162,http://maps.google.com/maps?t=m&q=loc:40.529369+-74.336162,Southbound
New Jersey,New Jersey Turnpike,47177,Exit 10,EXIT 10,I-287; NJ-440; Perth Amboy; Metuchen; Edison Township,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47177,40.529369,-74.336162,http://maps.google.com/maps?t=m&q=loc:40.529369+-74.336162,Southbound
New Jersey,New Jersey Turnpike,47178,Exit 10,EXIT 10,I-95,"Edison, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%2010/47178,40.525219,-74.337962,http://maps.google.com/maps?t=m&q=loc:40.525219+-74.337962,Southbound
New Jersey,New Jersey Turnpike,47180,Exit 9,EXIT 9,NJ-18 N; US-1; New Brunswick,"East Brunswick, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%209/47180,40.486051,-74.399228,http://maps.google.com/maps?t=m&q=loc:40.486051+-74.399228,Southbound
New Jersey,New Jersey Turnpike,47182,Exit 8A,EXIT 8A,New Jersey 32; U.S. 130; Jamesburg; Cranbury,"Jamesburg, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208A/47182,40.35545,-74.471793,http://maps.google.com/maps?t=m&q=loc:40.35545+-74.471793,Southbound
New Jersey,New Jersey Turnpike,47183,Molly Pitcher Service Area,SERVICE PLAZA,Molly Pitcher Service Area,"Cranbury, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47183,40.332163,-74.482282,http://maps.google.com/maps?t=m&q=loc:40.332163+-74.482282,Southbound
New Jersey,New Jersey Turnpike,47184,Exit 8,EXIT 8,"NJ 133
          (MM: 8.0)","Hightstown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%208/47184,40.267598,-74.510457,http://maps.google.com/maps?t=m&q=loc:40.267598+-74.510457,Southbound
New Jersey,New Jersey Turnpike,4488,Exit 7A,EXIT 7A,"I 195;I 195
          (MM: 7.0)","Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%207A/4488,40.201264,-74.590308,http://maps.google.com/maps?t=m&q=loc:40.201264+-74.590308,Southbound
New Jersey,New Jersey Turnpike,47187,Richard Stockton Travel Plaza,SERVICE PLAZA,Richard Stockton Travel Plaza,"Trenton, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/47187,40.183784,-74.618863,http://maps.google.com/maps?t=m&q=loc:40.183784+-74.618863,Southbound
New Jersey,New Jersey Turnpike,4492,Exit 5,EXIT 5,Burlington; Mount Holly,"Mt Holly, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%205/4492,40.028297,-74.819966,http://maps.google.com/maps?t=m&q=loc:40.028297+-74.819966,Southbound
New Jersey,New Jersey Turnpike,4493,Exit 4,EXIT 4,New Jersey 73,"Mt Laurel, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%204/4493,39.933391,-74.950463,http://maps.google.com/maps?t=m&q=loc:39.933391+-74.950463,Southbound
New Jersey,New Jersey Turnpike,4494,Walt Whitman Travel Plaza,SERVICE PLAZA,Walt Whitman Travel Plaza,"Cherry Hill, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4494,39.887951,-74.999027,http://maps.google.com/maps?t=m&q=loc:39.887951+-74.999027,Southbound
New Jersey,New Jersey Turnpike,4495,Exit 3,EXIT 3,NJ-168; Camden; Woodbury,"Runnemede, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%203/4495,39.860784,-75.068895,http://maps.google.com/maps?t=m&q=loc:39.860784+-75.068895,Southbound
New Jersey,New Jersey Turnpike,4496,Exit 2,EXIT 2,US-322; Swedesboro; Chester. Pa.,"Swedesboro, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%202/4496,39.755442,-75.27334,http://maps.google.com/maps?t=m&q=loc:39.755442+-75.27334,Southbound
New Jersey,New Jersey Turnpike,4497,Clara Barton Service Area,SERVICE PLAZA,Clara Barton Service Area,"Pedricktown, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Service%20Plaza/4497,39.697964,-75.392888,http://maps.google.com/maps?t=m&q=loc:39.697964+-75.392888,Southbound
New Jersey,New Jersey Turnpike,4498,Toll,TOLL BOOTH,Toll,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Toll/4498,39.686723,-75.441881,http://maps.google.com/maps?t=m&q=loc:39.686723+-75.441881,Southbound
New Jersey,New Jersey Turnpike,4499,New Jersey 140,EXIT,New Jersey 140,"Penns Grove, New Jersey",https://www.iexitapp.com/New%20Jersey/New%20Jersey%20Turnpike/Exit%20/4499,39.680841,-75.472782,http://maps.google.com/maps?t=m&q=loc:39.680841+-75.472782,Southbound
