state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New York,I-87,48124,Border Patrol Checkpoint,BORDER PATROL,Border Patrol Checkpoint,"Champlain, New York",https://www.iexitapp.com/New%20York/I-87/Border%20Patrol%20Checkpoint/48124,45.00868,-73.452691,http://maps.google.com/maps?t=m&q=loc:45.00868+-73.452691,Southbound
New York,I-87,2604,Exit 43,EXIT 43,West Service Road,"Champlain, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2043/2604,44.997723,-73.455636,http://maps.google.com/maps?t=m&q=loc:44.997723+-73.455636,Southbound
New York,I-87,2606,Exit 42,EXIT 42,US-11; Mooers; Rouses Point,"Champlain, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2042/2606,44.984961,-73.457972,http://maps.google.com/maps?t=m&q=loc:44.984961+-73.457972,Southbound
New York,I-87,2607,Exit 41,EXIT 41,New York 191; Chazy; Sciota,"Chazy, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2041/2607,44.892391,-73.45443,http://maps.google.com/maps?t=m&q=loc:44.892391+-73.45443,Southbound
New York,I-87,2610,Exit 40,EXIT 40,New York 456; Beekmantown; Point au Roche,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2040/2610,44.783316,-73.438683,http://maps.google.com/maps?t=m&q=loc:44.783316+-73.438683,Southbound
New York,I-87,2611,Exit 39N,EXIT 39N,Moffitt Road,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2039N/2611,44.733019,-73.436939,http://maps.google.com/maps?t=m&q=loc:44.733019+-73.436939,Southbound
New York,I-87,2612,Exit 39E,EXIT 39E,New York 314; Cumberland Head; Plattsburgh Bay,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2039E/2612,44.728066,-73.441207,http://maps.google.com/maps?t=m&q=loc:44.728066+-73.441207,Southbound
New York,I-87,2614,Exit 38N,EXIT 38N,New York 22 N; Danmemore; Saranac Lake; New York 374 W,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2038N/2614,44.717181,-73.458799,http://maps.google.com/maps?t=m&q=loc:44.717181+-73.458799,Southbound
New York,I-87,2615,Exit 38S,EXIT 38S,New York 22 S; Plattsburgh,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2038S/2615,44.713618,-73.46549,http://maps.google.com/maps?t=m&q=loc:44.713618+-73.46549,Southbound
New York,I-87,2616,Exit 37,EXIT 37,Plattsburgh,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2037/2616,44.696093,-73.490503,http://maps.google.com/maps?t=m&q=loc:44.696093+-73.490503,Southbound
New York,I-87,2617,Exit 36,EXIT 36,New York 22; Plattsburgh International Airport,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2036/2617,44.65367,-73.483013,http://maps.google.com/maps?t=m&q=loc:44.65367+-73.483013,Southbound
New York,I-87,2618,Weigh Station,WEIGH STATION,Weigh Station,"Plattsburgh, New York",https://www.iexitapp.com/New%20York/I-87/Weigh%20Station/2618,44.608766,-73.490644,http://maps.google.com/maps?t=m&q=loc:44.608766+-73.490644,Southbound
New York,I-87,2619,Exit 35,EXIT 35,New York 442; Peru; Port Kent,"Peru, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2035/2619,44.582058,-73.502644,http://maps.google.com/maps?t=m&q=loc:44.582058+-73.502644,Southbound
New York,I-87,2621,Exit 34,EXIT 34,State 9N; AuSable Forks; Keeseville,"Keeseville, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2034/2621,44.495001,-73.499961,http://maps.google.com/maps?t=m&q=loc:44.495001+-73.499961,Southbound
New York,I-87,2622,Exit 33,EXIT 33,Willsboro; Essex-Ferry; New York 22; U.S. 9,"Keeseville, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2033/2622,44.448459,-73.489737,http://maps.google.com/maps?t=m&q=loc:44.448459+-73.489737,Southbound
New York,I-87,2624,Exit 32,EXIT 32,Lewis,"Lewis, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2032/2624,44.290571,-73.532157,http://maps.google.com/maps?t=m&q=loc:44.290571+-73.532157,Southbound
New York,I-87,2625,Temporarily Closed - Parking Area,PARKING AREA,Temporarily Closed - Parking Area,"Lewis, New York",https://www.iexitapp.com/New%20York/I-87/Parking%20Area/2625,44.280542,-73.530885,http://maps.google.com/maps?t=m&q=loc:44.280542+-73.530885,Southbound
New York,I-87,2627,Exit 31,EXIT 31,New York 9N; Elizabethtown; Westport,"Westport, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2031/2627,44.212513,-73.507262,http://maps.google.com/maps?t=m&q=loc:44.212513+-73.507262,Southbound
New York,I-87,2631,Exit 30,EXIT 30,U.S. 9; New York 73; North Hudson; Keene Valley,"North Hudson, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2030/2631,44.077854,-73.659853,http://maps.google.com/maps?t=m&q=loc:44.077854+-73.659853,Southbound
New York,I-87,2632,Rest Area,REST AREA,Rest Area,"North Hudson, New York",https://www.iexitapp.com/New%20York/I-87/Rest%20Area/2632,44.020425,-73.702167,http://maps.google.com/maps?t=m&q=loc:44.020425+-73.702167,Southbound
New York,I-87,2633,Exit 29,EXIT 29,Newcomb; North Hudson,"North Hudson, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2029/2633,43.950687,-73.737447,http://maps.google.com/maps?t=m&q=loc:43.950687+-73.737447,Southbound
New York,I-87,2634,Exit 28,EXIT 28,NY-74 E; Ticonderoga Ferry; Schroon Lake; Fort Ticonderoga,"Schroon Lake, New York",https://www.iexitapp.com/New%20York/I-87/Exit%2028/2634,43.875303,-73.752946,http://maps.google.com/maps?t=m&q=loc:43.875303+-73.752946,Southbound
