state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New York,I-95,5559,Exit 1,EXIT 1,"HHP;NY 9A
          (MM: 1.0)","New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%201/5559,40.849915,-73.944002,http://maps.google.com/maps?t=m&q=loc:40.849915+-73.944002,Northbound
New York,I-95,47342,Exit 1,EXIT 1,US 9;Cabrini Boulevard,"New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%201/47342,40.849915,-73.944002,http://maps.google.com/maps?t=m&q=loc:40.849915+-73.944002,Northbound
New York,I-95,47343,Exit 1,EXIT 1,Riverside Drive,"New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%201/47343,40.848855,-73.941394,http://maps.google.com/maps?t=m&q=loc:40.848855+-73.941394,Northbound
New York,I-95,5560,Exit 2,EXIT 2,"Harlem River Drive
          (MM: 2.0)","New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%202/5560,40.846839,-73.933509,http://maps.google.com/maps?t=m&q=loc:40.846839+-73.933509,Northbound
New York,I-95,47345,Exit 2,EXIT 2,Harlem Riv Dr; FDR Dr; Manhattan,"New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%202/47345,40.846839,-73.933509,http://maps.google.com/maps?t=m&q=loc:40.846839+-73.933509,Northbound
New York,I-95,47346,Exit 2,EXIT 2,Harlem Riv Dr; FDR Dr; Manhattan,"New York, New York",https://www.iexitapp.com/New%20York/I-95/Exit%202/47346,40.845674,-73.931456,http://maps.google.com/maps?t=m&q=loc:40.845674+-73.931456,Northbound
New York,I-95,5562,Exit 2A,EXIT 2A,Jerome Ave,"Bronx, New York",https://www.iexitapp.com/New%20York/I-95/Exit%202A/5562,40.84506,-73.916686,http://maps.google.com/maps?t=m&q=loc:40.84506+-73.916686,Northbound
New York,I-95,5563,Exit 2B,EXIT 2B,Webster Ave,"Bronx, New York",https://www.iexitapp.com/New%20York/I-95/Exit%202B/5563,40.844766,-73.905341,http://maps.google.com/maps?t=m&q=loc:40.844766+-73.905341,Northbound
New York,I-95,5564,Exit 4A,EXIT 4A,"I 895
          (MM: 4.0)","Bronx, New York",https://www.iexitapp.com/New%20York/I-95/Exit%204A/5564,40.838805,-73.883312,http://maps.google.com/maps?t=m&q=loc:40.838805+-73.883312,Northbound
New York,I-95,5565,Exit 4B,EXIT 4B,Bronx River Parkway; Rosedale Avenue,"Bronx, New York",https://www.iexitapp.com/New%20York/I-95/Exit%204B/5565,40.836517,-73.876975,http://maps.google.com/maps?t=m&q=loc:40.836517+-73.876975,Northbound
