state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Carolina,I-73,76710,Exit 122,EXIT 122,Highway 65,"Stokesdale, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20122/76710,36.271864,-79.932867,http://maps.google.com/maps?t=m&q=loc:36.271864+-79.932867,Southbound
North Carolina,I-73,76713,Exit 120,EXIT 120,US 158; Stokesdale; Reidsville,"Summerfield, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20120/76713,36.250711,-79.922174,http://maps.google.com/maps?t=m&q=loc:36.250711+-79.922174,Southbound
North Carolina,I-73,76714,Exit 119,EXIT 119,US 220 South; Greensboro,"Stokesdale, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20119/76714,36.232132,-79.916142,http://maps.google.com/maps?t=m&q=loc:36.232132+-79.916142,Southbound
North Carolina,I-73,76712,Exit 117,EXIT 117,Highway 150; Summerfield,"Summerfield, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20117/76712,36.206929,-79.924505,http://maps.google.com/maps?t=m&q=loc:36.206929+-79.924505,Southbound
North Carolina,I-73,76711,Exit 111,EXIT 111,County Road 68; Oak Ridge,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20111/76711,36.139331,-79.961498,http://maps.google.com/maps?t=m&q=loc:36.139331+-79.961498,Southbound
North Carolina,I-73,76716,Exit 110,EXIT 110,Highway 68 South; High Point,"Colfax, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20110/76716,36.127648,-79.965305,http://maps.google.com/maps?t=m&q=loc:36.127648+-79.965305,Southbound
North Carolina,I-73,76715,Exit 109,EXIT 109,PTI - GSO Airport,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20109/76715,36.120859,-79.942346,http://maps.google.com/maps?t=m&q=loc:36.120859+-79.942346,Southbound
North Carolina,I-73,76717,Exit 109,EXIT 109,Old Oak Ridge Road,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20109/76717,36.121081,-79.941394,http://maps.google.com/maps?t=m&q=loc:36.121081+-79.941394,Southbound
North Carolina,I-73,76718,Exit 107,EXIT 107,"I-840; Joseph M Bryan Blvd
          (MM: 107.0)","Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20107/76718,36.118362,-79.912886,http://maps.google.com/maps?t=m&q=loc:36.118362+-79.912886,Southbound
North Carolina,I-73,12249,Exit 104,EXIT 104,West Friendly Avenue,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20104/12249,36.094176,-79.915053,http://maps.google.com/maps?t=m&q=loc:36.094176+-79.915053,Southbound
North Carolina,I-73,12251,Exit 102,EXIT 102,Wendover Ave,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20102/12251,36.053773,-79.917864,http://maps.google.com/maps?t=m&q=loc:36.053773+-79.917864,Southbound
North Carolina,I-73,76575,Exit 100,EXIT 100,Gate City Blvd,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20100/76575,36.028571,-79.885537,http://maps.google.com/maps?t=m&q=loc:36.028571+-79.885537,Southbound
North Carolina,I-73,12252,Exit 97B,EXIT 97B,"I 85 Business;US 29;US 70
          (MM: 97.0)","Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2097B/12252,36.010129,-79.85324,http://maps.google.com/maps?t=m&q=loc:36.010129+-79.85324,Southbound
North Carolina,I-73,51702,Exit 97B,EXIT 97B,I-85 S; I-85 BUS S; US-29 S; US-70 W; High Point; Charlotte,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2097B/51702,36.010129,-79.85324,http://maps.google.com/maps?t=m&q=loc:36.010129+-79.85324,Southbound
North Carolina,I-73,51703,Exit 97A,EXIT 97A,"I 85 Business;US 29;US 70
          (MM: 97.0)","Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2097A/51703,36.004908,-79.850798,http://maps.google.com/maps?t=m&q=loc:36.004908+-79.850798,Southbound
North Carolina,I-73,12253,Exit 96,EXIT 96,"US 421
          (MM: 96.0)","Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2096/12253,36.003301,-79.835203,http://maps.google.com/maps?t=m&q=loc:36.003301+-79.835203,Southbound
North Carolina,I-73,12255,Exit 94,EXIT 94,Old Randleman Road,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2094/12255,35.991162,-79.826997,http://maps.google.com/maps?t=m&q=loc:35.991162+-79.826997,Southbound
North Carolina,I-73,12256,Climax,EXIT,Climax,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12256,35.927123,-79.827124,http://maps.google.com/maps?t=m&q=loc:35.927123+-79.827124,Southbound
North Carolina,I-73,12257,U.S. 220 Business N,EXIT,U.S. 220 Business N,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12257,35.88615,-79.821885,http://maps.google.com/maps?t=m&q=loc:35.88615+-79.821885,Southbound
North Carolina,I-73,12258,Randleman,EXIT,Randleman,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12258,35.829521,-79.82721,http://maps.google.com/maps?t=m&q=loc:35.829521+-79.82721,Southbound
North Carolina,I-73,12259,High Point,EXIT,High Point,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12259,35.801785,-79.8222,http://maps.google.com/maps?t=m&q=loc:35.801785+-79.8222,Southbound
North Carolina,I-73,12261,Pineview Street,EXIT,Pineview Street,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12261,35.776828,-79.82921,http://maps.google.com/maps?t=m&q=loc:35.776828+-79.82921,Southbound
North Carolina,I-73,12262,Spero Rd,EXIT,Spero Rd,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12262,35.756905,-79.827268,http://maps.google.com/maps?t=m&q=loc:35.756905+-79.827268,Southbound
North Carolina,I-73,12263,Exit 76,EXIT 76,Vision Drive,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2076/12263,35.73052,-79.824259,http://maps.google.com/maps?t=m&q=loc:35.73052+-79.824259,Southbound
North Carolina,I-73,12264,Presnell St,EXIT,Presnell St,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12264,35.723092,-79.825373,http://maps.google.com/maps?t=m&q=loc:35.723092+-79.825373,Southbound
North Carolina,I-73,51706,North Carolina 42; Asheboro,EXIT,North Carolina 42; Asheboro,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/51706,35.712033,-79.827535,http://maps.google.com/maps?t=m&q=loc:35.712033+-79.827535,Southbound
North Carolina,I-73,76579,Exit 72B,EXIT 72B,"US 64 West; NC 49 South; Lexington, Charlotte","Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2072B/76579,35.689859,-79.831733,http://maps.google.com/maps?t=m&q=loc:35.689859+-79.831733,Southbound
North Carolina,I-73,76580,Exit 72A,EXIT 72A,US 64 East; NC 49 North; Raleigh,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2072A/76580,35.685264,-79.82998,http://maps.google.com/maps?t=m&q=loc:35.685264+-79.82998,Southbound
North Carolina,I-73,12268,Exit 71,EXIT 71,McDowell Rd,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2071/12268,35.673991,-79.830565,http://maps.google.com/maps?t=m&q=loc:35.673991+-79.830565,Southbound
North Carolina,I-73,12269,Exit 68,EXIT 68,U.S. 220 S; Dawson Miller Road; Ulah; Troy,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2068/12269,35.622221,-79.827413,http://maps.google.com/maps?t=m&q=loc:35.622221+-79.827413,Southbound
North Carolina,I-73,12270,Exit 66,EXIT 66,New Hope Church Road,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2066/12270,35.594874,-79.817337,http://maps.google.com/maps?t=m&q=loc:35.594874+-79.817337,Southbound
North Carolina,I-73,12271,Exit 61,EXIT 61,N Carolina 705,"Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2061/12271,35.539985,-79.792854,http://maps.google.com/maps?t=m&q=loc:35.539985+-79.792854,Southbound
North Carolina,I-73,51707,Randolph Visitor Center,REST AREA,"Randolph Visitor Center
          (MM: 58.0)","Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Rest%20Area/51707,35.518347,-79.7824,http://maps.google.com/maps?t=m&q=loc:35.518347+-79.7824,Southbound
North Carolina,I-73,12272,Exit 58,EXIT 58,Black Ankle Rd,"Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2058/12272,35.493568,-79.780273,http://maps.google.com/maps?t=m&q=loc:35.493568+-79.780273,Southbound
North Carolina,I-73,12273,Exit 56,EXIT 56,Ether; Steeds,"Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2056/12273,35.454765,-79.782096,http://maps.google.com/maps?t=m&q=loc:35.454765+-79.782096,Southbound
North Carolina,I-73,12274,Exit 52,EXIT 52,Star Robbins,"Biscoe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2052/12274,35.411112,-79.770434,http://maps.google.com/maps?t=m&q=loc:35.411112+-79.770434,Southbound
North Carolina,I-73,12275,Exit 49,EXIT 49,North Carolina 24; North Carolina 27; Biscoe,"Biscoe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2049/12275,35.364462,-79.765987,http://maps.google.com/maps?t=m&q=loc:35.364462+-79.765987,Southbound
North Carolina,I-73,12276,Exit 44,EXIT 44,Candor,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2044/12276,35.301613,-79.729232,http://maps.google.com/maps?t=m&q=loc:35.301613+-79.729232,Southbound
North Carolina,I-73,12277,Exit 41,EXIT 41,US 220 Alternate,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2041/12277,35.258252,-79.727783,http://maps.google.com/maps?t=m&q=loc:35.258252+-79.727783,Southbound
North Carolina,I-73,12278,Exit 39,EXIT 39,Tabernacle Church Road,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2039/12278,35.230349,-79.732565,http://maps.google.com/maps?t=m&q=loc:35.230349+-79.732565,Southbound
North Carolina,I-73,12279,Exit 35,EXIT 35,State Road 1321,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2035/12279,35.177654,-79.713275,http://maps.google.com/maps?t=m&q=loc:35.177654+-79.713275,Southbound
North Carolina,I-73,12280,Exit 33,EXIT 33,N Carolina 73,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2033/12280,35.151237,-79.714937,http://maps.google.com/maps?t=m&q=loc:35.151237+-79.714937,Southbound
North Carolina,I-73,12281,Exit 30,EXIT 30,Crawford Road,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2030/12281,35.104668,-79.723703,http://maps.google.com/maps?t=m&q=loc:35.104668+-79.723703,Southbound
North Carolina,I-73,12282,Exit 28,EXIT 28,Milestone Road,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2028/12282,35.072258,-79.733541,http://maps.google.com/maps?t=m&q=loc:35.072258+-79.733541,Southbound
North Carolina,I-73,57637,Exit 25,EXIT 25,US-220; Ellerbe,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2025/57637,35.047917,-79.763856,http://maps.google.com/maps?t=m&q=loc:35.047917+-79.763856,Southbound
