state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Carolina,NC 147,42838,Exit 1,EXIT 1,"NC 540 Toll to I-40 to I-540 to US 1 – Raleigh, Sanford","Morrisville, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%201/42838,35.854767,-78.863152,http://maps.google.com/maps?t=m&q=loc:35.854767+-78.863152,Southbound
North Carolina,NC 147,42823,Exit 2,EXIT 2,Davis Drive,"Morrisville, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%202/42823,35.866511,-78.864673,http://maps.google.com/maps?t=m&q=loc:35.866511+-78.864673,Southbound
North Carolina,NC 147,42824,"Exit 5A,B","EXIT 5A,B","I-40 to NC 54 – Raleigh, Chapel Hill","Durham, North Carolina","https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%205A,B/42824",35.897636,-78.876065,http://maps.google.com/maps?t=m&q=loc:35.897636+-78.876065,Southbound
North Carolina,NC 147,42825,Exit 6,EXIT 6,Cornwallis Road  – Research Triangle Park,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%206/42825,35.911067,-78.865188,http://maps.google.com/maps?t=m&q=loc:35.911067+-78.865188,Southbound
North Carolina,NC 147,42826,Exit 7,EXIT 7,T.W. Alexander Drive,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%207/42826,35.920761,-78.861036,http://maps.google.com/maps?t=m&q=loc:35.920761+-78.861036,Southbound
North Carolina,NC 147,42827,Exit 8,EXIT 8,Ellis Road,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%208/42827,35.935622,-78.858541,http://maps.google.com/maps?t=m&q=loc:35.935622+-78.858541,Southbound
North Carolina,NC 147,42828,Exit 10,EXIT 10,Briggs Avenue  – Durham Technical Community College (south),"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2010/42828,35.974713,-78.872533,http://maps.google.com/maps?t=m&q=loc:35.974713+-78.872533,Southbound
North Carolina,NC 147,42829,Exit 11,EXIT 11,NC 55 (Alston Avenue),"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2011/42829,35.980963,-78.887013,http://maps.google.com/maps?t=m&q=loc:35.980963+-78.887013,Southbound
North Carolina,NC 147,42830,Exit 12A,EXIT 12A,Fayetteville Street  – North Carolina Central University,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2012A/42830,35.985865,-78.894976,http://maps.google.com/maps?t=m&q=loc:35.985865+-78.894976,Southbound
North Carolina,NC 147,42831,Exit 12B,EXIT 12B,US 15 Bus. / US 501 Bus. (Mangum Street/Roxboro Street)  – Downtown,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2012B/42831,35.98803,-78.897413,http://maps.google.com/maps?t=m&q=loc:35.98803+-78.897413,Southbound
North Carolina,NC 147,42832,Exit 12C,EXIT 12C,Duke Street,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2012C/42832,35.991741,-78.90715,http://maps.google.com/maps?t=m&q=loc:35.991741+-78.90715,Southbound
North Carolina,NC 147,42833,Exit 13,EXIT 13,Chapel Hill Street,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2013/42833,35.997132,-78.912049,http://maps.google.com/maps?t=m&q=loc:35.997132+-78.912049,Southbound
North Carolina,NC 147,42834,Exit 14,EXIT 14,To US 70 Bus. / Swift Avenue  – Duke University East Campus,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2014/42834,36.00245,-78.918041,http://maps.google.com/maps?t=m&q=loc:36.00245+-78.918041,Southbound
North Carolina,NC 147,42835,Exit 15A,EXIT 15A,Elba Street / Trent Drive,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2015A/42835,36.006699,-78.928137,http://maps.google.com/maps?t=m&q=loc:36.006699+-78.928137,Southbound
North Carolina,NC 147,42836,Exit 15B,EXIT 15B,Hillandale Road / Fulton Street,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2015B/42836,36.010602,-78.933253,http://maps.google.com/maps?t=m&q=loc:36.010602+-78.933253,Southbound
North Carolina,NC 147,42837,"Exit 16A,B","EXIT 16A,B",I-85 / US 15 / US 501 – To North; To South (Chapel Hill),"Durham, North Carolina","https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2016A,B/42837",36.016124,-78.946149,http://maps.google.com/maps?t=m&q=loc:36.016124+-78.946149,Southbound
