state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Carolina,NC 147,42839,"Exit 16A,B","EXIT 16A,B",I-85 / US 15 / US 501 – To North; To South (Chapel Hill),"Durham, North Carolina","https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2016A,B/42839",36.016124,-78.946149,http://maps.google.com/maps?t=m&q=loc:36.016124+-78.946149,Northbound
North Carolina,NC 147,42808,"Exit 16A,B","16A,B",Junction,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/JunctionNotTreatedAsJunction/42808,36.020402,-78.957037,http://maps.google.com/maps?t=m&q=loc:36.020402+-78.957037,Northbound
North Carolina,NC 147,42809,Exit 15B,EXIT 15B,Hillandale Road / Fulton Street,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2015B/42809,36.015165,-78.942111,http://maps.google.com/maps?t=m&q=loc:36.015165+-78.942111,Northbound
North Carolina,NC 147,42810,Exit 14,EXIT 14,To US 70 Bus. / Swift Avenue  – Duke University East Campus,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2014/42810,36.005548,-78.924245,http://maps.google.com/maps?t=m&q=loc:36.005548+-78.924245,Northbound
North Carolina,NC 147,42811,Exit 13,EXIT 13,Chapel Hill Street,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2013/42811,35.99925,-78.913276,http://maps.google.com/maps?t=m&q=loc:35.99925+-78.913276,Northbound
North Carolina,NC 147,42812,Exit 12,EXIT 12,"Fayetteville Street, Jackie Robinson Drive, S Duke Street","Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2012/42812,35.990832,-78.905641,http://maps.google.com/maps?t=m&q=loc:35.990832+-78.905641,Northbound
North Carolina,NC 147,42813,Exit 11,EXIT 11,NC 55 (Alston Avenue),"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2011/42813,35.983728,-78.893193,http://maps.google.com/maps?t=m&q=loc:35.983728+-78.893193,Northbound
North Carolina,NC 147,42814,Exit 10,EXIT 10,Briggs Avenue  – Durham Technical Community College (south),"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2010/42814,35.977852,-78.879812,http://maps.google.com/maps?t=m&q=loc:35.977852+-78.879812,Northbound
North Carolina,NC 147,42815,Exit 10,EXIT 10,Briggs Avenue (north),"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%2010/42815,35.975949,-78.875091,http://maps.google.com/maps?t=m&q=loc:35.975949+-78.875091,Northbound
North Carolina,NC 147,42816,Ellis Road,EXIT,Ellis Road,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%20/42816,35.942697,-78.860962,http://maps.google.com/maps?t=m&q=loc:35.942697+-78.860962,Northbound
North Carolina,NC 147,42817,Exit 7,EXIT 7,T.W. Alexander Drive,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%207/42817,35.927602,-78.85988,http://maps.google.com/maps?t=m&q=loc:35.927602+-78.85988,Northbound
North Carolina,NC 147,42818,Exit 6,EXIT 6,Cornwallis Road  – Research Triangle Park,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%206/42818,35.916232,-78.863065,http://maps.google.com/maps?t=m&q=loc:35.916232+-78.863065,Northbound
North Carolina,NC 147,42820,Exit 3,EXIT 3,Davis Drive / Hopson Road,"Durham, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%203/42820,35.880566,-78.868047,http://maps.google.com/maps?t=m&q=loc:35.880566+-78.868047,Northbound
North Carolina,NC 147,42821,Exit 1,EXIT 1,"NC 540 Toll to I-40 to I-540 to US 1 – Raleigh, Sanford","Morrisville, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%201/42821,35.854767,-78.863152,http://maps.google.com/maps?t=m&q=loc:35.854767+-78.863152,Northbound
North Carolina,NC 147,42838,Exit 1,EXIT 1,"NC 540 Toll to I-40 to I-540 to US 1 – Raleigh, Sanford","Morrisville, North Carolina",https://www.iexitapp.com/North%20Carolina/NC%20147/Exit%201/42838,35.854767,-78.863152,http://maps.google.com/maps?t=m&q=loc:35.854767+-78.863152,Southbound
