state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Dakota,I-29,19852,Exit 1,EXIT 1,102nd St SE; 102th St SE,"Hankinson, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%201/19852,45.937054,-96.84253,http://maps.google.com/maps?t=m&q=loc:45.937054+-96.84253,Northbound
North Dakota,I-29,19853,Exit 2,EXIT 2,100th St SE,"Hankinson, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%202/19853,45.961471,-96.835835,http://maps.google.com/maps?t=m&q=loc:45.961471+-96.835835,Northbound
North Dakota,I-29,19854,North Dakota Welcome Center,WELCOME CENTER,"North Dakota Welcome Center
          (MM: 3.0)","Hankinson, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Welcome%20Center/19854,45.974174,-96.835837,http://maps.google.com/maps?t=m&q=loc:45.974174+-96.835837,Northbound
North Dakota,I-29,19855,Exit 8,EXIT 8,N Dakota 11; Hankinson; Fairmount,"Hankinson, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%208/19855,46.047856,-96.835233,http://maps.google.com/maps?t=m&q=loc:46.047856+-96.835233,Northbound
North Dakota,I-29,19856,Exit 15,EXIT 15,Co Rd 16; Great Bend; Mantador,"Hankinson, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2015/19856,46.149523,-96.834144,http://maps.google.com/maps?t=m&q=loc:46.149523+-96.834144,Northbound
North Dakota,I-29,19857,Exit 23,EXIT 23,N Dakota 13; Mooreton; Wahpeton,"Mooreton, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2023/19857,46.256315,-96.833683,http://maps.google.com/maps?t=m&q=loc:46.256315+-96.833683,Northbound
North Dakota,I-29,19859,Exit 26,EXIT 26,CR 10,"Wahpeton, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2026/19859,46.307883,-96.830977,http://maps.google.com/maps?t=m&q=loc:46.307883+-96.830977,Northbound
North Dakota,I-29,19860,Exit 31,EXIT 31,Galchutt,"Wahpeton, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2031/19860,46.38049,-96.830097,http://maps.google.com/maps?t=m&q=loc:46.38049+-96.830097,Northbound
North Dakota,I-29,19861,Exit 37,EXIT 37,Colfax; Abercrombie,"Walcott, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2037/19861,46.467378,-96.830496,http://maps.google.com/maps?t=m&q=loc:46.467378+-96.830496,Northbound
North Dakota,I-29,19862,Exit 42,EXIT 42,Walcott,"Walcott, North Dakota",https://www.iexitapp.com/North%20Dakota/I-29/Exit%2042/19862,46.539951,-96.825604,http://maps.google.com/maps?t=m&q=loc:46.539951+-96.825604,Northbound
