state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Virginia,I-195,38123,SR 195 south (Downtown Expressway) to I-95 / I-64 east – Downtown Richmond,EXIT,SR 195 south (Downtown Expressway) to I-95 / I-64 east – Downtown Richmond,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38123,37.533968,-77.434163,http://maps.google.com/maps?t=m&q=loc:37.533968+-77.434163,Northbound
Virginia,I-195,38124,US 1 / US 301 – Belvidere Street,EXIT,US 1 / US 301 – Belvidere Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38124,37.539137,-77.44364,http://maps.google.com/maps?t=m&q=loc:37.539137+-77.44364,Northbound
Virginia,I-195,38125,Parkwood Avenue,EXIT,Parkwood Avenue,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38125,37.545546,-77.462942,http://maps.google.com/maps?t=m&q=loc:37.545546+-77.462942,Northbound
Virginia,I-195,38126,SR 161 Boulevard,EXIT,SR 161 Boulevard,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38126,37.547956,-77.470645,http://maps.google.com/maps?t=m&q=loc:37.547956+-77.470645,Northbound
Virginia,I-195,38128,SR 147 (Cary Street) / Floyd Avenue,EXIT,SR 147 (Cary Street) / Floyd Avenue,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38128,37.552779,-77.485942,http://maps.google.com/maps?t=m&q=loc:37.552779+-77.485942,Northbound
Virginia,I-195,38130,SR 6 (Patterson Avenue) / Grove Avenue,EXIT,SR 6 (Patterson Avenue) / Grove Avenue,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38130,37.558913,-77.489011,http://maps.google.com/maps?t=m&q=loc:37.558913+-77.489011,Northbound
Virginia,I-195,38131,US 33 / US 250 (Broad Street) / Hamilton Street,EXIT,US 33 / US 250 (Broad Street) / Hamilton Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38131,37.568759,-77.479032,http://maps.google.com/maps?t=m&q=loc:37.568759+-77.479032,Northbound
Virginia,I-195,38132,"I-95 / I-64 east – Norfolk, Washington",EXIT,"I-95 / I-64 east – Norfolk, Washington","Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38132,37.581766,-77.473651,http://maps.google.com/maps?t=m&q=loc:37.581766+-77.473651,Northbound
Virginia,I-195,38134,Hamilton Street,EXIT,Hamilton Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38134,37.575426,-77.477275,http://maps.google.com/maps?t=m&q=loc:37.575426+-77.477275,Southbound
Virginia,I-195,38135,SR 147 (Cary Street) / Floyd Avenue,EXIT,SR 147 (Cary Street) / Floyd Avenue,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38135,37.560786,-77.488116,http://maps.google.com/maps?t=m&q=loc:37.560786+-77.488116,Southbound
Virginia,I-195,38136,I-195 Downtown – City Stadium,EXIT,I-195 Downtown – City Stadium,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38136,37.559574,-77.489016,http://maps.google.com/maps?t=m&q=loc:37.559574+-77.489016,Southbound
Virginia,I-195,38137,Rosewood Avenue – City Stadium,EXIT,Rosewood Avenue – City Stadium,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38137,37.552657,-77.48606,http://maps.google.com/maps?t=m&q=loc:37.552657+-77.48606,Southbound
Virginia,I-195,38139,SR 1 / SR Belvidere Street,EXIT,SR 1 / SR Belvidere Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38139,37.543324,-77.457395,http://maps.google.com/maps?t=m&q=loc:37.543324+-77.457395,Southbound
Virginia,I-195,38140,Byrd Street,EXIT,Byrd Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38140,37.542704,-77.451062,http://maps.google.com/maps?t=m&q=loc:37.542704+-77.451062,Southbound
Virginia,I-195,38141,SR 60 7th Street / 9th Street,EXIT,SR 60 7th Street / 9th Street,"Richmond, Virginia",https://www.iexitapp.com/Virginia/I-195/Exit%20/38141,37.538191,-77.442413,http://maps.google.com/maps?t=m&q=loc:37.538191+-77.442413,Southbound
