state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Fax,Hours of Operation,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Phone 3,Mile Marker,Unleaded,Diesel,Bulk Def,Propane,# of Men's Showers,Phone 4,Mailing Address,Phone 5,Road Name,https
1,Alabama,205 TRUCK CENTER,location_details.php?id=171,https://www.truckstopsandservices.com/location_details.php?id=171,Trucker,chevron,33.644014,-85.50071,I-20,205,7000 AL 46,HEFLIN,AL,36264,256-463-7341 (TRAVEL CENTER),256-463-7341 (HUNT BROTHERS PIZZA),256-463-2022,24 HOURS,30,0,0,7,1,3,,,,,,,,,,,,
1,Alabama,231 FUEL STOP,location_details.php?id=53886,https://www.truckstopsandservices.com/location_details.php?id=53886,Trucker,ind_dealer_1,32.258949,-86.155029,US 231,,7249 TROY HWY,PIKE ROAD,AL,36064,334-593-0332 (TRAVEL CENTER),,,,100,7,7,3,1,0,,,,,,,,,,,,
1,Alabama,4 WAY QUICK STOP,location_details.php?id=53890,https://www.truckstopsandservices.com/location_details.php?id=53890,Trucker,sunoco,34.28574,-86.586754,AL 69,,14255 69,JOPPA,AL,35087,256-796-6310 (TRAVEL CENTER),256-796-6310 (KRISPY KRUNCHY CHICKEN),,,10,0,0,4,0,0,,,,,,,,,,,,
1,Alabama,A. W. HERNDON OIL CO. INC.,location_details.php?id=54388,https://www.truckstopsandservices.com/location_details.php?id=54388,Trucker,citgo,31.36038,-85.327866,US 431,,16326 US 431,HEADLAND,AL,36345,334-693-2451 (TRAVEL CENTER),,334-693-2451,,0,0,0,4,0,0,,,,,,,,,,,,
1,Alabama,ALLEN'S FOOD MART #9,location_details.php?id=10176,https://www.truckstopsandservices.com/location_details.php?id=10176,Trucker,exxon,33.165995,-86.277705,I-20,205,42020 US-280,SYLACAUGA,AL,35150,256-245-2575 (TRAVEL CENTER),256-245-2575 (ALLEN'S DELI),,,30,0,0,4,1,3,,,,,,,,,,,,
1,Alabama,ARNOLD'S TRUCK STOP,location_details.php?id=10085,https://www.truckstopsandservices.com/location_details.php?id=10085,Trucker,ind_dealer_1,34.701491,-87.645053,US 72,,1460 AL-20,TUSCUMBIA,AL,35674,256-381-1750 (TRAVEL CENTER),256-381-1750 (JODIE'S),256-383-6672,,35,,,4,3,2,,,,,,,,,,,,
1,Alabama,BOAZ FOOD MART,location_details.php?id=18449,https://www.truckstopsandservices.com/location_details.php?id=18449,Trucker,ind_dealer_1,34.189343,-86.189504,US 179,,20 PEPPERS RD,BOAZ,AL,35957,256-840-5030 (TRAVEL CENTER),,,,10,0,0,2,0,0,,,,,,,,,,,,
1,Alabama,BOLIGEE ONE STOP,location_details.php?id=392,https://www.truckstopsandservices.com/location_details.php?id=392,Trucker,marathon,32.799198,-88.032099,I-20/59,32,17945 CO RD 20 N,BOLIGEE,AL,35443,205-336-8438 (TRAVEL CENTER),205-336-8438 (BOLIGEE TRUCKSTOP RESTAURANT),,,50,0,0,5,0,0,,,,,,,,,,,,
1,Alabama,BP,location_details.php?id=53994,https://www.truckstopsandservices.com/location_details.php?id=53994,Trucker,bp-,32.14538,-85.708809,US 82,,404 E CONECUH ST,UNION SPRINGS,AL,36089,334-738-8954 (TRAVEL CENTER),,,,12,0,12,3,0,0,,,,,,,,,,,,
1,Alabama,BROOKWOOD SHELL TRUCK STOP,location_details.php?id=446,https://www.truckstopsandservices.com/location_details.php?id=446,Trucker,shell_,33.190829,-87.299298,I-20/59,86,10001 COVERED BRIDGE RD,BROOKWOOD,AL,35444,205-553-6228,,,,10,,,4,2,0,,,,,,,,,,,,
1,Alabama,CAFFEE JUNCTION CHEVRON,location_details.php?id=464,https://www.truckstopsandservices.com/location_details.php?id=464,Trucker,chevron,33.246151,-87.136725,I-20/59,97,21361 HWY 11 N,MCCALLA,AL,35111,205-477-0702 (TRAVEL CENTER),,,,5,0,0,4,0,0,,,,,,,,,,,,
1,Alabama,CEFCO #0485,location_details.php?id=54047,https://www.truckstopsandservices.com/location_details.php?id=54047,Trucker,ind_dealer_1,31.90487,-87.742546,US 43,,31821 S US 43,THOMASVILLE,AL,36784,334-636-1138 (TRAVEL CENTER),,,,,,,4,,,,,,,,,,,,,,
1,Alabama,CHEVRON,location_details.php?id=47841,https://www.truckstopsandservices.com/location_details.php?id=47841,Trucker,chevron,32.286915,-87.796534,US 43,AL 69,2010 S MAIN ST,LINDEN,AL,36748,334-295-0087 (TRAVEL CENTER),334-295-0087 (PARR'S CHEVRON DELI),,,22,0,0,3,0,0,,,,,,,,,,,,
1,Alabama,CHICASAW CORNER STOP,location_details.php?id=10113,https://www.truckstopsandservices.com/location_details.php?id=10113,Trucker,shell_,30.760632,-88.074226,US 43,10,100 TELEGRAPH RD,CHICASAW,AL,36611,251-456-4369 (TRAVEL CENTER),251-456-4369 (HUNT BROTHERS PIZZA),,,0,0,0,3,0,0,,,,,,,,,,,,
1,Alabama,CIRCLE K,location_details.php?id=1567,https://www.truckstopsandservices.com/location_details.php?id=1567,Trucker,ind_dealer_1,32.989569,-87.789432,I-20/59,52,30054 US 11,KNOXVILLE,AL,35469,205-372-4373 (TRAVEL CENTER),,,,5,0,0,2,0,0,,,,,,,,,,,,
1,Alabama,CIRCLE K,location_details.php?id=2028,https://www.truckstopsandservices.com/location_details.php?id=2028,Trucker,circle_k__3774,30.951693,-87.856391,I-65,31,49980 AL-225,BAY MINETTE,AL,36507,251-937-0549 (TRAVEL CENTER),251-937-0549 (SUBWAY),,,10,0,0,3,0,0,,,,,,,,,,,,
