state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,# of Reserved Parking Spots,# of Paid Parking Spots,Exit,Phone 2,Fax,https,Phone 3,Phone 4,Unleaded,Diesel,Bulk Def,Propane,Phone 5,# of Men's Showers,Mile Marker,Road Name,Hours of Operation,Mailing Address,http
10,Georgia,CIRCLE K,location_details.php?id=47134,http://www.rvandtravelers.com/location_details.php?id=47134,RVer,circle_k__3774,,,GA 303,4041 COMMUNITY RD,BRUNSWICK,GA,31520,912-267-1500 (TRAVEL CENTER),0,2,0,0,,,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10491,http://www.rvandtravelers.com/location_details.php?id=10491,RVer,mobil_oil__type,,,US 29,93 E MAY ST,WINDER,GA,30680,770-307-4190,0,2,0,0,0,0,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10500,http://www.rvandtravelers.com/location_details.php?id=10500,RVer,exxon,,,GA 53,5880 NEW CALHOUN HWY NE,SHANNON,GA,30161,706-295-5544 (TRAVEL CENTER),25,3,0,0,,,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10501,http://www.rvandtravelers.com/location_details.php?id=10501,RVer,circle_k__3774,,,GA 60,1260 CANDLER RD,GAINESVILLE,GA,30507,770-718-3025,15,4,0,0,,,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10504,http://www.rvandtravelers.com/location_details.php?id=10504,RVer,exxon,,,GA 77,211 N OLIVER ST,ELBERTON,GA,30635,706-213-9729 (TRAVEL CENTER),0,3,0,0,0,0,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10510,http://www.rvandtravelers.com/location_details.php?id=10510,RVer,shell_,,,GA 307,2404 DEAN FOREST RD,GARDEN CITY,GA,31408,912-966-0568 (TRAVEL CENTER),5,2,0,0,,,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10511,http://www.rvandtravelers.com/location_details.php?id=10511,RVer,circle_k__3774,,,GA 365,3951 STATE HWY 365,ALTO,GA,30510,706-778-5844 (TRAVEL CENTER),4,3,0,0,0,0,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10513,http://www.rvandtravelers.com/location_details.php?id=10513,RVer,bp-,,,GA 520,742 N MAIN ST,DAWSON,GA,39842,229-995-3325 (TRAVEL CENTER),20,3,0,0,0,0,,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=47464,http://www.rvandtravelers.com/location_details.php?id=47464,RVer,shell_,,,I-95,7110 GA-21,PORT WENTWORTH,GA,31407,912-964-9448 (TRAVEL CENTER),10,5,0,0,0,0,109,,,,,,,,,,,,,,,,
10,Georgia,CIRCLE K,location_details.php?id=10527,http://www.rvandtravelers.com/location_details.php?id=10527,RVer,circle_k__3774,,,US 19,301 US 19 S,CAMILLA,GA,31730,229-336-9984 (TRAVEL CENTER),0,2,0,0,0,0,,,,,,,,,,,,,,,,,
