state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Fax,Phone 2,Unleaded,Diesel,Bulk Def,Propane,Phone 3,https,Phone 4,Phone 5,# of Men's Showers,http,htp,Mile Marker,Road Name,Hours of Operation,Mailing Address
22,nesota,KWIK TRIP #623,location_details.php?id=54586,http://www.rvandtravelers.com/location_details.php?id=54586,RVer,kwik-trip,,,US 61,7020 HWY 61 W,MINNESOTA CITY,MN,55959,507-452-6230 (TRAVEL CENTER),0,0,0,5,0,0,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #646,location_details.php?id=54587,http://www.rvandtravelers.com/location_details.php?id=54587,RVer,kwik-trip,,,I-90,209 S GROVE ST,BLUE EARTH,MN,56013,507-526-4666 (TRAVEL CENTER),0,0,0,2,0,0,119,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #659,location_details.php?id=54589,http://www.rvandtravelers.com/location_details.php?id=54589,RVer,kwik-trip,,,US 52,1990 SCOTT RD NW,ROCHESTER,MN,55901,507-289-2185 (TRAVEL CENTER),0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #662,location_details.php?id=54590,http://www.rvandtravelers.com/location_details.php?id=54590,RVer,kwik-trip,,,I-494,3145 DODD RD,EAGAN,MN,55121,651-405-8543 (TRAVEL CENTER),10,0,0,3,0,0,70,651-681-2066,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #843,location_details.php?id=54603,http://www.rvandtravelers.com/location_details.php?id=54603,RVer,kwik-trip,,,MN 60,106 HIAWATHA DR,WABASHA,MN,55981,651-565-4543 (TRAVEL CENTER),,,,1,,,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #844,location_details.php?id=54604,http://www.rvandtravelers.com/location_details.php?id=54604,RVer,kwik-trip,,,US 63,994 W LYON AVE,LAKE CITY,MN,55041,651-345-3011 (TRAVEL CENTER),,,,2,,,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #854,location_details.php?id=54606,http://www.rvandtravelers.com/location_details.php?id=54606,RVer,kwik-trip,,,US 212,520 N REFORM ST,NORWOOD,MN,55368,952-467-1957 (TRAVEL CENTER),3,0,0,3,0,0,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #874,location_details.php?id=54611,http://www.rvandtravelers.com/location_details.php?id=54611,RVer,kwik-trip,,,US 8,11085 LAKE BLVD,CHISAGO CITY,MN,55013,651-257-6004 (TRAVEL CENTER),0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
22,nesota,KWIK TRIP #875,location_details.php?id=54612,http://www.rvandtravelers.com/location_details.php?id=54612,RVer,kwik-trip,,,I-90,2611 BRIDGE ST,ALBERT LEA,MN,56007,507-373-1032 (TRAVEL CENTER),3,0,0,3,0,0,157,,,,,,,,,,,,,,,,,
22,nesota,LOVE'S TRAVEL STOP #337,location_details.php?id=22309,http://www.rvandtravelers.com/location_details.php?id=22309,RVer,loves-travel-stops-country-stores_416x416,,,I-35,2751 E MAIN ST,ALBERT LEA,MN,56007,507-373-3200 (TRAVEL CENTER),66,0,0,8,5,0,11,507-373-3204,507-373-3200 (WENDY'S),2.999,3.389,3.949,,,,,,,,,,,,
