state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Mile Marker,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Phone 4,Phone 5,Fax,Exit,https,Diesel,Bulk Def,Unleaded,Propane,# of Men's Showers,http,Road Name,Hours of Operation,Mailing Address,htp
39,Pennsylvania,7 ELEVEN #40275 - BEDFORD,location_details.php?id=54743,http://www.rvandtravelers.com/location_details.php?id=54743,RVer,sunoco,,,I-76 WB,MM 150,14731 PENNSYLVANIA TPKE,BEDFORD,PA,15522,814-623-6203 (TRAVEL CENTER),814-623-6203 (SUBWAY),814-623-6203 (STARBUCKS),10,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN #7095 - OAKMONT PLAZA,location_details.php?id=2146,http://www.rvandtravelers.com/location_details.php?id=2146,RVer,sunoco,,,I-76,MM 49 EB,2000 EASTERN AVE,VERONA,PA,15147,412-828-3702 (TRAVEL CENTER),412-828-3702 (BURGER KING),,25,0,0,3,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 40287 - WAYNE,location_details.php?id=53548,http://www.rvandtravelers.com/location_details.php?id=53548,RVer,sunoco,,,I-76,MM 380,1495 VALLEYFORD RD,WAYNE,PA,19087,610-687-9964 (TRAVEL CENTER),610-687-9964 (STARBUCKS),,4,0,0,2,0,,,,,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7081 BLUE MOUNTAIN PLAZA,location_details.php?id=382,http://www.rvandtravelers.com/location_details.php?id=382,RVer,sunoco,,,I-76,MM 202.5 WB,MM 202.5 PA TPKE,NEWBURG,PA,17240,717-423-5482 (TRAVEL CENTER),717-423-5482 (ROY ROGERS),717-423-5482 (AUNTIE ANNE'S),50,0,0,2,0,0,717-423-5482 (SBARRO),717-423-5482 (STARBUCKS),,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7082 - CUMBERLAND VALLEY PLAZA,location_details.php?id=2622,http://www.rvandtravelers.com/location_details.php?id=2622,RVer,sunoco,,,I-76,MM 219 EB,13 BURGNERS MILL RD,CARLISLE,PA,17015,717-258-4397 (TRAVEL CENTER),717-258-4397 (ROY ROGERS),717-258-4397 (AUNTIE ANNE'S),50,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7087 - ALLENTOWN PLAZA,location_details.php?id=53551,http://www.rvandtravelers.com/location_details.php?id=53551,RVer,sunoco,,,I-476,MM 55,5052 CETRONIA RD,WESCOSVILLE,PA,18106,610-398-7086 (TRAVEL CENTER),610-398-7086 (ROY ROGERS),610-398-7086 (CINNABON),100,0,0,4,0,0,610-398-7086 (AUNTIE ANNE'S),610-398-7086 (STARBUCKS),610-395-2169,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7088 - HICKORY RUN PLAZA,location_details.php?id=1315,http://www.rvandtravelers.com/location_details.php?id=1315,RVer,7-eleven,,,I-476,MM 86 NB/SB,256 DANNER RD #3,JIM THORPE,PA,18229,570-325-2673 (TRAVEL CENTER),570-325-2673 (BURGER KING),570-325-2673 (AUNTIE ANNE'S),100,0,0,4,0,0,570-325-2673 (STARBUCKS),,570-565-7015,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7090 - HIGHSPIRE SERVICE PLAZA,location_details.php?id=1322,http://www.rvandtravelers.com/location_details.php?id=1322,RVer,sunoco,,,I-76E,MM 250 EB,441 INDUSTRIAL LANE,MIDDLETOWN,PA,17057,717-944-9266 (TRAVEL CENTER),717-944-9266 (ROY ROGERS),717-944-9266 (STARBUCKS),11,0,0,1,0,0,,,717-944-1122,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7091 - LAWN PLAZA,location_details.php?id=53550,http://www.rvandtravelers.com/location_details.php?id=53550,RVer,sunoco,,,PA TPKE,,7 BACHMANVILLE RD,HERSHEY,PA,17033,717-367-9336 (TRAVEL CENTER),717-367-9336 (STARBUCKS),717-367-9336 (BURGER KING),75,0,0,2,0,0,,,717-367-0429,BACHMANVILLE RD,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7092 BOWMANSVILLE PLAZA,location_details.php?id=53549,http://www.rvandtravelers.com/location_details.php?id=53549,RVer,sunoco,,,I-76,MM 290,625 PA TPKE,BOWMANSVILLE,PA,17507,717-445-9791 (TRAVEL CENTER),717-445-9791 (BURGER KING),,12,0,0,1,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,7 ELEVEN 7093 PETER J CAMIEL PLAZA,location_details.php?id=2204,http://www.rvandtravelers.com/location_details.php?id=2204,RVer,sunoco,,,I-76W,MM 305 WB,5 MARSH RD,ELVERSON,PA,19520,610-286-8836 (TRAVEL CENTER),610-286-8836 (ROY ROGERS),610-286-8836 (PZA),50,0,0,2,0,0,610-286-8836 (STARBUCKS),,,,,,,,,,,,,,
39,Pennsylvania,7- ELEVEN #7076 - SOUTH SOMERSET PLAZA,location_details.php?id=2957,http://www.rvandtravelers.com/location_details.php?id=2957,RVer,sunoco,,,I-70/76,MM 112 EB,328 INDUSTRIAL PARK RD,SOMERSET,PA,15501,814-445-4925 (TRAVEL CENTER),814-445-4925 (BURGER KING),814-445-4925 (STARBUCKS),150,0,0,2,0,0,814-445-4925 (POPEYE'S),,814-445-1391,,,,,,,,,,,,
39,Pennsylvania,7- ELEVEN #7077 - NORTH SOMERSET PLAZA,location_details.php?id=47948,http://www.rvandtravelers.com/location_details.php?id=47948,RVer,sunoco,,,I-70/76,MM 112 WB,PA TPKE MM 112,SOMERSET,PA,15501,814-444-1746 (TRAVEL CENTER),814-444-1746 (ROY ROGERS),814-444-1746 (AUNTIE ANNE'S),75,0,0,3,0,0,814-444-1746 (STARBUCKS),814-444-1746 (SAMIGLIA PIZZERIA),,,,,,,,,,,,,
39,Pennsylvania,7- ELEVEN #7078 - SOUTH MIDWAY PLAZA,location_details.php?id=2955,http://www.rvandtravelers.com/location_details.php?id=2955,RVer,sunoco,,,I-76E,,410 SHADYSIDE DR,BEDFORD,PA,15522,814-802-7070 (TRAVEL CENTER),814-802-7070 (STARBUCKS),814-802-7070 (ROY ROGERS),30,0,0,4,0,0,814-802-7070 (SBARRO),,,150,,,,,,,,,,,
