state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Phone 4,# of Men's Showers,Fax,Diesel,Bulk Def,https,Unleaded,Propane,Phone 5,http,Mile Marker,Road Name,Hours of Operation,Mailing Address,htp
45,Texas,FUEL MAXX #46,location_details.php?id=55836,http://www.rvandtravelers.com/location_details.php?id=55836,RVer,chevron,,,TX 105,25525 TX-105,CLEVELAND,TX,77327,281-806-7720 (TRAVEL CENTER),281-806-7720 (TACO CORNER),281-806-7720 (DICKEY'S BBQ),25,0,0,5,0,0,,,,,,,,,,,,,,,,
45,Texas,FUEL MAXX #48,location_details.php?id=55843,http://www.rvandtravelers.com/location_details.php?id=55843,RVer,shell_,,,FM 359,1865 FM 359,BROOKSHIRE,TX,77423,281-934-2808 (TRAVEL CENTER),281-934-2808 (TACO CORNER),,0,0,0,5,0,0,,,,,,,,,,,,,,,,
45,Texas,FUEL MAXX #49,location_details.php?id=55854,http://www.rvandtravelers.com/location_details.php?id=55854,RVer,shell_,,,I-10,29633 HWY BLVD,KATY,TX,77494,281-574-4234 (TRAVEL CENTER),281-574-4234 (DICKEY'S BBQ),281-574-4234 (TACO CORNER),,,,3,0,,737,281-574-4234 (CHECKERS BURGERS),,,,,,,,,,,,,,
45,Texas,FUEL MAXX #5,location_details.php?id=54335,http://www.rvandtravelers.com/location_details.php?id=54335,RVer,valero,,,US 90,9499 US 90,DAYTON,TX,77535,936-258-2048 (TRAVEL CENTER),936-258-2048 (TACO CORNER),,15,0,15,4,3,0,,,2,,,,,,,,,,,,,
45,Texas,FUEL MAXX #50,location_details.php?id=47694,http://www.rvandtravelers.com/location_details.php?id=47694,RVer,shell_,,,TX 6,17694 HWY 6,NAVASOTA,TX,77868,936-825-0397 (TRAVEL CENTER),936-825-0397 (CHECKERS),,25,0,0,4,0,0,FM 2,,,936-825-0418,,,,,,,,,,,,
45,Texas,GALLUP PETROLEUM,location_details.php?id=47572,http://www.rvandtravelers.com/location_details.php?id=47572,RVer,chevron,,,I-35,50 I-35,COTULLA,TX,78014,830-879-4863 (TRAVEL CENTER),,,150,0,0,4,2,0,67,,,830-879-5286,,,,,,,,,,,,
45,Texas,GATEWAY,location_details.php?id=55925,http://www.rvandtravelers.com/location_details.php?id=55925,RVer,exxon,,,I-30,801 E I-30,GARLAND,TX,75043,786-299-2237 (TRAVEL CENTER),786-299-2237 (SONIC),,0,0,0,5,0,0,61-A,,,972-286-1015,2.899,3.499,,,,,,,,,,
45,Texas,GATEWAY,location_details.php?id=55928,http://www.rvandtravelers.com/location_details.php?id=55928,RVer,shell_,,,US 84/79,2320 W OAK ST,PALESTINE,TX,75801,903-723-1680 (TRAVEL CENTER),903-723-1680 (DENNY'S),,35,0,0,4,3,0,,,,903-723-1681,,,,,,,,,,,,
45,Texas,GATEWAY,location_details.php?id=55929,http://www.rvandtravelers.com/location_details.php?id=55929,RVer,shell_,,,I-820,1000 NE LOOP 820,FORT WORTH,TX,76106,817-866-6008 (TRAVEL CENTER),,,,,,3,,,15,,,,2.999,3.859,,,,,,,,,,
45,Texas,GATEWAY OF HENDERSON,location_details.php?id=47618,http://www.rvandtravelers.com/location_details.php?id=47618,RVer,shell_,,,US 79,100 US-79,HENDERSON,TX,75652,903-392-2260 (TRAVEL CENTER),903-392-2260 (DENNY'S),,55,0,0,4,3,0,,,,903-392-2260,,,,,,,,,,,,
