state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Mile Marker,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Phone 4,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Fax,Unleaded,Diesel,Bulk Def,Propane,Phone 5,# of Men's Showers,Road Name,https,Hours of Operation,Mailing Address
9,Florida,OKAHUMPKA PLAZA,location_details.php?id=10442,https://www.truckstopsandservices.com/location_details.php?id=10442,Trucker,shell_,28.786501,-81.981792,FLTP,MM 300,FLTP MM 300,WILDWOOD,FL,34785,352-748-6129 (TRAVEL CENTER),352-748-6129 (DUNKIN' DONUTS),352-748-6129 (WENDY'S),352-748-6129 (KFC),55,0,0,4,0,0,,,,,,,,,,,,
9,Florida,OKEECHOBEE JOE,location_details.php?id=46960,https://www.truckstopsandservices.com/location_details.php?id=46960,Trucker,citgo,25.897132,-80.378376,US 27,,13899 W OKEECHOBEE RD,HIALEAH GARDENS,FL,33018,305-698-5593 (TRAVEL CENTER),,,,5,,,4,0,0,,,,,,,,,,,,
9,Florida,PALMETTO TRUCK PLAZA,location_details.php?id=10432,https://www.truckstopsandservices.com/location_details.php?id=10432,Trucker,bp-,25.856787,-80.325236,US 27,,9101 W OKEECHOBEE RD,HIALEAH GARDENS,FL,33016,786-664-1999 (TRAVEL CENTER),,,,50,0,0,6,6,4,FL 826,305-557-3251,,,,,,,,,,
9,Florida,PAT'S FOOD MART,location_details.php?id=47104,https://www.truckstopsandservices.com/location_details.php?id=47104,Trucker,citgo,28.208571,-82.18481,US 301,,3225 GALL BLVD,ZEPHYRHILLS,FL,33541,813-788-2883 (TRAVEL CENTER),,,,0,,,3,0,0,,,,,,,,,,,,
9,Florida,PETRO STOPPING CENTER #323,location_details.php?id=10428,https://www.truckstopsandservices.com/location_details.php?id=10428,Trucker,petro,29.40974,-82.244403,I-75,,7401 W HWY 318,REDDICK,FL,32686,352-591-1881 (TRAVEL CENTER),352-591-5791 (IRON SKILLET),352-591-5791 (WENDY'S),,270,30,30,12,14,5,368,352-591-8607,,,,,,,,,,
9,Florida,PETROLIDER OF AMERICA,location_details.php?id=47084,https://www.truckstopsandservices.com/location_details.php?id=47084,Trucker,sunoco,27.971097,-82.360674,US 301,,3002 US 301 N,TAMPA,FL,33619,813-664-6929 (TRAVEL CENTER),,,,0,0,0,3,0,0,,,,,,,,,,,,
9,Florida,Pilot Travel Center,location_details.php?id=64228,https://www.truckstopsandservices.com/location_details.php?id=64228,Trucker,,28.874763,-82.090509,I-75,,,Wildwood,FL,34785,352-352-3155,,,,,,,,,,,,,,,,,,,,,
9,Florida,PILOT TRAVEL CENTER #1046,location_details.php?id=47083,https://www.truckstopsandservices.com/location_details.php?id=47083,Trucker,pilot,26.666263,-80.715788,US 27,,210 US HWY 27 N,SOUTH BAY,FL,33493,561-996-1740 (TRAVEL CENTER),,,,24,0,0,6,4,0,,561-996-1744,3.099,3.699,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #1047,location_details.php?id=46972,https://www.truckstopsandservices.com/location_details.php?id=46972,Trucker,pilot,30.37061,-81.763838,I-295,,4075 JONES BRANCH RD,JACKSONVILLE,FL,32219,904-786-7844 (TRAVEL CENTER),904-786-7844 (ARBY'S),904-786-7844 (CINNABON),904-786-7844 (AUNTIE ANNE'S),88,29,29,8,7,0,25,904-786-7697,,3.659,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #1058,location_details.php?id=47086,https://www.truckstopsandservices.com/location_details.php?id=47086,Trucker,pilot,29.813659,-82.168021,US 301,,17276 NE US HWY 301,WALDO,FL,32694,352-468-1590 (TRAVEL CENTER),352-468-1590 (KRISPY KRUNCHY CHICKEN),352-468-1590 (DUNKIN' DONUTS),,20,0,0,5,3,0,,,2.799,3.659,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #1128,location_details.php?id=47392,https://www.truckstopsandservices.com/location_details.php?id=47392,Trucker,pilot,27.917896,-81.718999,FL 60,,7990 FL 60,BARTOW,FL,33830,863-537-1000 (TRAVEL CENTER),863-537-1000 (ARBY'S),,,38,6,6,6,2,0,,,,3.659,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #293,location_details.php?id=47002,https://www.truckstopsandservices.com/location_details.php?id=47002,Trucker,pilot,29.025289,-82.1596,I-75,,2020 SW HWY 484,OCALA,FL,34473,352-347-8555 (TRAVEL CENTER),352-347-8555 (WENDY'S),352-347-8555 (DAIRY QUEEN),352-347-8555 (CINNABON),50,13,13,7,5,0,341,352-347-3082,,3.559,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #352,location_details.php?id=16862,https://www.truckstopsandservices.com/location_details.php?id=16862,Trucker,pilot,26.655854,-81.802171,I-75,,6050 PLAZA DR,FORT MYERS,FL,33905,239-693-6868 (TRAVEL CENTER),239-693-1047 (SUBWAY),,,80,15,15,7,6,4,139,239-693-1253,,3.699,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #374,location_details.php?id=16869,https://www.truckstopsandservices.com/location_details.php?id=16869,Trucker,pilot,30.725159,-85.187009,I-10,,2209 HWY 71,MARIANNA,FL,32448,850-482-2148 (TRAVEL CENTER),850-482-8999 (ARBY'S),,,120,7,7,7,7,0,142,850-482-2136,,3.689,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #424,location_details.php?id=16855,https://www.truckstopsandservices.com/location_details.php?id=16855,Trucker,pilot,29.266049,-82.189987,I-75,,4032 W HWY 326,OCALA,FL,34482,352-867-8300 (TRAVEL CENTER),352-867-0084 (ARBY'S),,,125,5,5,9,5,0,358,352-347-8448,3.059,3.559,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #425,location_details.php?id=16872,https://www.truckstopsandservices.com/location_details.php?id=16872,Trucker,pilot,30.48444,-84.420962,I-10,,33333 BLUE STAR HWY,MIDWAY,FL,32343,850-576-3200 (TRAVEL CENTER),850-576-3404 (SUBWAY),850-576-3404 (DUNKIN' DONUTS  EXPRESS),,60,8,8,7,8,0,192,850-576-3213,2.799,3.759,4.359,,,,,,,
