state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Mile Marker,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Fax,Phone 2,Exit,Phone 3,Phone 4,Diesel,Bulk Def,Propane,Unleaded,# of Men's Showers,Phone 5,Hours of Operation,Road Name,https,Mailing Address
14,Indiana,7 ELEVEN 2776 - WILBUR SHAW PLAZA,location_details.php?id=3321,https://www.truckstopsandservices.com/location_details.php?id=3321,Trucker,sunoco,41.707708,-86.621341,I-90,MM 56 WB,7 N WILBUR SHAW PLAZA,ROLLING PRAIRIE,IN,46371,219-778-8146 (TRAVEL CENTER),75,0,0,4,0,0,,,,,,,,,,,,,,,
14,Indiana,7 ELEVEN 2778 GEORGE ADE,location_details.php?id=3314,https://www.truckstopsandservices.com/location_details.php?id=3314,Trucker,sunoco,41.588061,-87.219036,I-80/90,MM 23,5105 PLAZA AVE,PORTAGE,IN,46368,219-762-4882 (TRAVEL CENTER),75,0,0,5,0,0,219-762-1481,,,,,,,,,,,,,,
14,Indiana,7 ELEVEN 2779 - JT MCCUTCHEON,location_details.php?id=3315,https://www.truckstopsandservices.com/location_details.php?id=3315,Trucker,sunoco,41.587793,-87.215051,I-80/90,MM 22 WB,5100 CLEM RD,PORTAGE,IN,46368,219-762-3641 (TRAVEL CENTER),75,0,0,5,0,0,219-764-4108,,,,,,,,,,,,,,
14,Indiana,7-ELEVEN 2777 - KNUTE ROCKNE,location_details.php?id=3320,https://www.truckstopsandservices.com/location_details.php?id=3320,Trucker,sunoco,41.705113,-86.623341,I-90,MM 56 EB,6776 N CO RD 425 E,ROLLING PRAIRIE,IN,46371,219-778-8085 (TRAVEL CENTER),75,0,0,4,0,0,,,,,,,,,,,,,,,
14,Indiana,AMERICAN NATURAL GAS,location_details.php?id=54683,https://www.truckstopsandservices.com/location_details.php?id=54683,Trucker,ind_dealer_1,38.65094,-87.530251,US 41,,1767 OLD US HWY 41 S,VINCENNES,IN,47591,866-264-6220 (TRAVEL CENTER),,,,4,0,,,,,,,,,,,,,,,,
14,Indiana,BEARCREEK CROSSING,location_details.php?id=10783,https://www.truckstopsandservices.com/location_details.php?id=10783,Trucker,marathon,40.540607,-84.96447,US 27,,893 E IN-18,BRYANT,IN,47326,260-997-6100 (TRAVEL CENTER),20,0,0,4,0,0,,260-997-6100 (SUBWAY),,,,,,,,,,,,,
14,Indiana,BELLMART,location_details.php?id=56950,https://www.truckstopsandservices.com/location_details.php?id=56950,Trucker,bp-,41.720636,-85.425336,IN 9,,5445 IN-9,HOWE,IN,46746,260-365-1053 (TRAVEL CENTER),,,,2,,,,,,,,,,,,,,,,,
14,Indiana,BUSLER,location_details.php?id=18546,https://www.truckstopsandservices.com/location_details.php?id=18546,Trucker,ind_dealer_1,38.000454,-87.59992,IN 66,,2601 N SAINT JOSEPH AVE,EVANSVILLE,IN,47720,812-464-2787 (TRAVEL CENTER),12,12,12,2,0,0,812-429-0669,,,,,,,,,,,,,,
14,Indiana,BUTLER ONE STOP,location_details.php?id=10771,https://www.truckstopsandservices.com/location_details.php?id=10771,Trucker,marathon,41.429622,-84.887616,US 6,,537 W MAIN ST,BUTLER,IN,46721,260-868-0036 (TRAVEL CENTER),15,0,0,4,0,0,260-868-2504,260-868-0036 (CHESTER'S FRIED CHICKEN),,,,,,,,,,,,,
14,Indiana,CARE FREE FOOD MART,location_details.php?id=477,https://www.truckstopsandservices.com/location_details.php?id=477,Trucker,marathon,38.237886,-86.361837,I-64,,6945 IN-66,LEAVENWORTH,IN,47137,812-739-4744 (TRAVEL CENTER),10,,,6,4,0,,,92,,,,,,,,,,,,
14,Indiana,CARLISLE PLAZA,location_details.php?id=10801,https://www.truckstopsandservices.com/location_details.php?id=10801,Trucker,marathon,38.955294,-87.407279,US 41,,8355 S OLD US HWY 41,CARLISLE,IN,47838,812-398-2526 (TRAVEL CENTER),75,0,0,4,3,0,,,,,,,,,,,,,,,
14,Indiana,CENTERTON MARATHON,location_details.php?id=54061,https://www.truckstopsandservices.com/location_details.php?id=54061,Trucker,marathon,39.51449,-86.403375,IN 67,,77 ROBB HILL RD,MARTINSVILLE,IN,46151,317-834-1320 (TRAVEL CENTER),3,0,0,2,0,0,,317-834-1320 (SUBWAY),,317-834-1320 (CHESTER'S FRIED CHICKEN),,,,,,,,,,,
14,Indiana,CHUCKLES,location_details.php?id=10804,https://www.truckstopsandservices.com/location_details.php?id=10804,Trucker,ind_dealer_1,38.631244,-87.179093,US 50,,1830 IN 57,WASHINGTON,IN,47501,812-254-4004 (TRAVEL CENTER),45,,,6,0,0,,,,,,,,,,,,,,,
14,Indiana,CIRCLE A FOOD MART,location_details.php?id=10809,https://www.truckstopsandservices.com/location_details.php?id=10809,Trucker,sunoco,38.364037,-86.940279,US 231,,1921 S LUBE WAY,JASPER,IN,47546,812-634-7827 (TRAVEL CENTER),15,0,0,5,2,0,,812-634-7827 (BLIMPIE),,,,,,,,,,,,,
14,Indiana,CIRCLE K,location_details.php?id=47888,https://www.truckstopsandservices.com/location_details.php?id=47888,Trucker,circle_k__3774,39.949343,-86.347055,I-65,,6416 E STATE RD,WHITESTOWN,IN,46075,317-769-7691 (TRAVEL CENTER),12,0,0,5,0,0,,,130,,,,,,,,,,,,
14,Indiana,CIRCLE K,location_details.php?id=47892,https://www.truckstopsandservices.com/location_details.php?id=47892,Trucker,circle_k__3774,39.533092,-85.777203,I-74,,1005 N RILEY HWY,SHELBYVILLE,IN,46176,317-392-2417 (TRAVEL CENTER),10,0,0,3,0,0,,,113 (1.5 MILE S),,,,,,,,,,,,
14,Indiana,CIRCLE K #28,location_details.php?id=351,https://www.truckstopsandservices.com/location_details.php?id=351,Trucker,circle_k__3774,39.527164,-85.733778,I-74,,2905 IN-44,SHELBYVILLE,IN,46176,317-398-0146 (TRAVEL CENTER),5,0,0,3,0,0,,,116,,,,,,,,,,,,
14,Indiana,CIRCLE K - DANVILLE,location_details.php?id=53526,https://www.truckstopsandservices.com/location_details.php?id=53526,Trucker,circle_k__3774,39.758006,-86.486733,US 36,S CO RD 200,260 S CO RD 200 E,DANVILLE,IN,46122,317-745-3127 (TRAVEL CENTER),5,0,0,3,0,0,,,,,,,,,,,,,,,
14,Indiana,CIRCLE K 2408,location_details.php?id=47905,https://www.truckstopsandservices.com/location_details.php?id=47905,Trucker,circle_k__3774,40.373957,-86.780746,I-65,,6533 IN 38 E,LAFAYETTE,IN,47905,765-446-9259 (TRAVEL CENTER),10,0,0,4,0,0,,,168,,,,,,,,,,,,
14,Indiana,CIRCLE K 65,location_details.php?id=54111,https://www.truckstopsandservices.com/location_details.php?id=54111,Trucker,circle_k__3774,39.296125,-85.958099,I-65,,10080 N US 31,TAYLORSVILLE,IN,47201,812-526-9119 (TRAVEL CENTER),0,0,0,3,0,0,,,76-A,,,,,,,,,,,,
