state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,Phone 2,Hours of Operation,# of Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,# of Reserved Parking Spots,# of Paid Parking Spots,Fax,Phone 3,# of Men's Showers,Diesel,Bulk Def,Unleaded,Propane,Phone 4,Mailing Address,Mile Marker,Phone 5,Road Name,https
26,North Carolina,SUN DO,location_details.php?id=12660,https://www.truckstopsandservices.com/location_details.php?id=12660,Trucker,ind_dealer_1,34.775459,-79.326029,NC 71,2199 N 71 N,MAXTON,NC,28364,910-844-3229 (TRAVEL CENTER),910-844-3229 (HUNT BROTHERS PIZZA),5AM TO 12PM DAILY,8,2,4,0,,,,,,,,,,,,,,,,
26,North Carolina,SUN DO,location_details.php?id=52888,https://www.truckstopsandservices.com/location_details.php?id=52888,Trucker,ind_dealer_1,34.678546,-79.275806,I-74,1631 CABINET SHOP RD,MAXTON,NC,28364,910-521-4301 (TRAVEL CENTER),,24 HOURS,25,6,1,0,197,,,,,,,,,,,,,,,
26,North Carolina,SUN DO 74/95,location_details.php?id=3085,https://www.truckstopsandservices.com/location_details.php?id=3085,Trucker,ind_dealer_1,34.602765,-79.105459,I-95,41 KENRIC DR,LUMBERTON,NC,28360,910-738-2858 (TRAVEL CENTER),,5AM TO 10PM DAILY,10,4,0,0,14,,,,,,,,,,,,,,,
26,North Carolina,SUN-DO 301,location_details.php?id=55121,https://www.truckstopsandservices.com/location_details.php?id=55121,Trucker,ind_dealer_1,34.67253,-79.008652,I-95,5111 FAYETTEVILLE RD,LUMBERTON,NC,28360,910-618-9986 (TRAVEL CENTER),,6AM TO 11PM DAILY,0,4,0,0,22,0,0,,,,,,,,,,,,,
26,North Carolina,SUN-DO 72,location_details.php?id=55122,https://www.truckstopsandservices.com/location_details.php?id=55122,Trucker,ind_dealer_1,34.60943,-78.980995,NC 72,730 S ROBERTS AVE,LUMBERTON,NC,28358,910-739-3107 (TRAVEL CENTER),,6AM TO 11PM DAILY,7,3,0,0,,0,0,910-887-2459,,,,,,,,,,,,
26,North Carolina,SUN-DO KWIK SHOP,location_details.php?id=55123,https://www.truckstopsandservices.com/location_details.php?id=55123,Trucker,ind_dealer_1,34.722645,-78.995756,I-95,11775 US HWY 301 N,LUMBERTON,NC,28358,910-272-0214,,5AM TO 11PM DAILY,8,3,0,0,25,0,0,910-272-0114,,,,,,,,,,,,
26,North Carolina,SUN-DO KWIK SHOP,location_details.php?id=47451,https://www.truckstopsandservices.com/location_details.php?id=47451,Trucker,ind_dealer_1,34.437141,-78.950169,US 74,1031 OLD BOARDMAN RD,EVERGREEN,NC,28438,910-738-1110 (TRAVEL CENTER),910-738-1110 (SUN DO BOARDMAN),5AM TO 11PM DAILY,10,4,0,0,,0,0,910-738-1110,,,,,,,,,,,,
26,North Carolina,TOBACCO TO GO,location_details.php?id=12740,https://www.truckstopsandservices.com/location_details.php?id=12740,Trucker,citgo,35.898194,-81.522435,US 321,1136 HICKORY BLVD,LENOIR,NC,28645,828-728-5139 (TRAVEL CENTER),,24 HOURS,0,2,0,0,,0,0,,,,,,,,,,,,,
26,North Carolina,TRAVEL CENTERS OF AMERICA #002,location_details.php?id=3214,https://www.truckstopsandservices.com/location_details.php?id=3214,Trucker,catscale3,36.064024,-79.564747,I-40/85,1101 NC HWY 61,WHITSETT,NC,27377,336-449-6060 (TRAVEL CENTER),336-449-6060 (BURGER KING),24 HOURS,173,12,13,6,138,30,30,336-449-0301,336-449-6060 (POPEYE'S),,,,,,,,,,,
26,North Carolina,TRAVEL CENTERS OF AMERICA #221,location_details.php?id=16266,https://www.truckstopsandservices.com/location_details.php?id=16266,Trucker,catscale3,35.543621,-82.754048,I-40,153 WIGGINS RD,CANDLER,NC,28715,828-665-1156 (TRAVEL CENTER),828-665-1156 (COUNTRY PRIDE RESTAURANT),24 HOURS,106,8,8,4,37,38,38,828-665-0890,,,,,,,,,,,,
26,North Carolina,TRAVEL CENTERS OF AMERICA #251,location_details.php?id=1352,https://www.truckstopsandservices.com/location_details.php?id=1352,Trucker,catscale3,35.925622,-80.592685,I-40,1670 US HWY 601 N,MOCKSVILLE,NC,27028,336-751-3815 (TRAVEL CENTER),336-751-3815 (COUNTRY PRIDE RESTAURANT),24 HOURS,139,8,7,3,170,14,14,336-751-4994,336-751-3815 (POPEYE'S),,,,,,,,,,,
26,North Carolina,WHIZZ MART,location_details.php?id=12733,https://www.truckstopsandservices.com/location_details.php?id=12733,Trucker,shell_,34.761382,-77.414242,US 258,910 N MARINE BLVD,JACKSONVILLE,NC,28540,910-346-6994 (TRAVEL CENTER),,5AM TO 11PM DAILY,0,4,0,0,,0,0,,,,,,,,,,,,,
26,North Carolina,XPRESS STOP,location_details.php?id=12714,https://www.truckstopsandservices.com/location_details.php?id=12714,Trucker,valero,35.272405,-81.49638,US 74,1801 E DIXON BLVD,SHELBY,NC,28152,704-484-9175 (TRAVEL CENTER),704-484-9175 (TRAVEL CENTER),24 HOURS,7,4,8,0,,,,,,,,,,,,,,,,
26,North Carolina,ZAX DELI MART,location_details.php?id=12667,https://www.truckstopsandservices.com/location_details.php?id=12667,Trucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,North Dakota,CASEY'S GENERAL STORE,location_details.php?id=11275,https://www.truckstopsandservices.com/location_details.php?id=11275,Trucker,caseys-general-store-,47.458514,-99.117676,US 281,309 US 281,CARRINGTON,ND,58421,701-652-3103 (TRAVEL CENTER),,24 HOURS,20,6,2,0,US 52,0,0,701-652-3119,,1,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=497,https://www.truckstopsandservices.com/location_details.php?id=497,Trucker,cenex--300_0,46.874283,-102.307537,I-94,3721 ND 8,RICHARDTON,ND,58652,701-974-2365 (TRAVEL CENTER),,5AM TO 11PM DAILY,50,4,1,0,84,0,0,701-974-3320,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=502,https://www.truckstopsandservices.com/location_details.php?id=502,Trucker,cenex--300_0,46.977059,-96.881746,I-29,310 DAKOTA AVE,HARWOOD,ND,58042,701-282-8290 (TRAVEL CENTER),,6AM TO 10PM DAILY,5,3,0,0,72,0,0,,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=503,https://www.truckstopsandservices.com/location_details.php?id=503,Trucker,cenex--300_0,47.402422,-97.071051,I-29,105 6TH ST,HILLSBORO,ND,58045,701-436-5126 (TRAVEL CENTER),,6AM TO 10PM DAILY,10,3,0,0,104,0,0,701-436-5301,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=3563,https://www.truckstopsandservices.com/location_details.php?id=3563,Trucker,cenex--300_0,46.858779,-101.417582,I-94,1309 N 8TH ST,NEW SALEM,ND,58563,701-843-7547 (TRAVEL CENTER),,7AM TO 10PM DAILY,10,2,0,0,127,0,0,,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=11260,https://www.truckstopsandservices.com/location_details.php?id=11260,Trucker,cenex--300_0,46.288707,-96.611909,ND 210,2019 9TH ST N,WAHPETON,ND,58075,701-642-8035 (TRAVEL CENTER),701-642-1200 (HILLS 210),5AM TO 10PM DAILY,10,5,0,0,,0,0,701-642-6651,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=11264,https://www.truckstopsandservices.com/location_details.php?id=11264,Trucker,cenex--300_0,48.355808,-99.999348,US 2,401 US-2,RUGBY,ND,58368,701-776-6220 (TRAVEL CENTER),701-776-6220 (CHAMPS CHICKEN),5AM TO 10PM DAILY,25,6,2,0,,,,701-776-6473,,1,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=11265,https://www.truckstopsandservices.com/location_details.php?id=11265,Trucker,cenex--300_0,48.338981,-100.404989,US 2,801 S MAIN ST,TOWNER,ND,58788,701-537-5457 (TRAVEL CENTER),,6AM TO 9PM DAILY,10,4,0,0,,0,0,701-537-5451,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=11274,https://www.truckstopsandservices.com/location_details.php?id=11274,Trucker,cenex--300_0,48.668275,-102.063038,US 52,48893 US-52,KENMARE,ND,58746,701-385-4222 (TRAVEL CENTER),,5AM TO 10PM DAILY,30,5,1,2,,,,701-385-4381,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=11277,https://www.truckstopsandservices.com/location_details.php?id=11277,Trucker,cenex--300_0,46.353874,-98.703966,US 281,109 INDUSTRIAL PARK,EDGELEY,ND,58433,701-493-2266 (TRAVEL CENTER),,24 HOURS,20,2,0,0,,,,,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=54053,https://www.truckstopsandservices.com/location_details.php?id=54053,Trucker,cenex--300_0,48.804321,-100.053109,ND 5,2930 96TH ST NE,DUNSEITH,ND,58329,701-244-9765 (TRAVEL CENTER),,6AM TO 9PM DAILY,20,4,1,2,,0,0,701-244-9767,,,,,,,,,,,,
27,North Dakota,CENEX,location_details.php?id=54054,https://www.truckstopsandservices.com/location_details.php?id=54054,Trucker,cenex--300_0,48.056971,-100.941065,US 52,524 US HWY 52,VELVA,ND,58790,701-338-2751 (TRAVEL CENTER),,24 HOURS,30,4,2,0,,0,0,701-338-3149,,,,,,,,,,,,
27,North Dakota,CENEX C-STORE,location_details.php?id=54057,https://www.truckstopsandservices.com/location_details.php?id=54057,Trucker,cenex--300_0,48.11287,-98.874168,US 2,600 HWY 2 W,DEVILS LAKE,ND,58301,701-662-3555 (TRAVEL CENTER),701-662-3555 (HOT STUFF PIZZA),5AM TO 11PM DAILY,30,4,0,0,,0,0,701-662-8778,,,,,,,,,,,,
27,North Dakota,CENEX C-STORE #25,location_details.php?id=54058,https://www.truckstopsandservices.com/location_details.php?id=54058,Trucker,cenex--300_0,46.83445,-100.73109,I-94,2520 CENTENNIAL RD,BISMARCK,ND,58503,701-255-3810 (TRAVEL CENTER),701-255-3810 (HOT STUFF PIZZA),5AM TO 10PM DAILY,0,2,0,0,161,0,0,,,,,,,,,,,,,
27,North Dakota,COUNTY LINE TRUCK STOP,location_details.php?id=45647,https://www.truckstopsandservices.com/location_details.php?id=45647,Trucker,cenex--300_0,46.975752,-102.791852,ND 22,11106 30TH ST,DICKINSON,ND,58601,701-483-7867 (TRAVEL CENTER),,24 HOURS,32,4,4,0,30TH ST,0,20,,,,,,,,,,,,,
27,North Dakota,DALE'S TRUCK STOP,location_details.php?id=11278,https://www.truckstopsandservices.com/location_details.php?id=11278,Trucker,ind_dealer_1,48.807037,-100.061336,US 281,612 MAIN ST,DUNSEITH,ND,58329,701-244-5491 (TRAVEL CENTER),701-244-5725 (DALE'S CAFE),6AM TO 7PM DAILY,15,4,2,0,,0,0,701-244-5869,,,,,,,,,,,,
27,North Dakota,ENVISION FUEL STOP,location_details.php?id=54247,https://www.truckstopsandservices.com/location_details.php?id=54247,Trucker,cenex--300_0,48.284883,-99.436489,US 2,5501 HWY 2,LEEDS,ND,58346,701-466-2462 (TRAVEL CENTER),701-466-2462 (HOT STUFF PIZZA),6AM TO 7PM DAILY,15,3,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,FARMER'S UNION,location_details.php?id=54281,https://www.truckstopsandservices.com/location_details.php?id=54281,Trucker,cenex--300_0,47.644472,-99.634309,US 52,230 ND HWY 15,FESSENDEN,ND,58438,701-547-3385 (TRAVEL CENTER),,6AM TO 9PM DAILY,20,5,1,1,ND 15,0,0,,,,,,,,,,,,,
27,North Dakota,FARMERS UNION OIL,location_details.php?id=11276,https://www.truckstopsandservices.com/location_details.php?id=11276,Trucker,cenex--300_0,47.155028,-100.790176,US 83,615 MINNIE AVE,WILTON,ND,58579,701-734-6312 (TRAVEL CENTER),,5AM TO 10PM DAILY,30,6,2,3,,0,0,701-734-6940,,,,,,,,,,,,
27,North Dakota,FARMERS UNION OIL,location_details.php?id=54282,https://www.truckstopsandservices.com/location_details.php?id=54282,Trucker,ind_dealer_1,48.446757,-101.723895,US 52,27585 US HWY 52,CARPIO,ND,58725,701-468-5439 (TRAVEL CENTER),701-468-5439 (HOT STUFF PIZZA),6AM TO 8PM DAILY,10,4,1,0,,0,0,701-468-5662,,,,,,,,,,,,
