state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,# of Reserved Parking Spots,# of Paid Parking Spots,Phone 2,Fax,Exit,Phone 3,# of Men's Showers,Unleaded,Diesel,Bulk Def,Propane,Phone 4,https,Mailing Address,Phone 5,http,Mile Marker,Road Name,Hours of Operation
1,Alabama,GOOSEPOND FOOD MART,location_details.php?id=10110,http://www.rvandtravelers.com/location_details.php?id=10110,RVer,bp-,,,AL 279,4715 S BROAD ST,SCOTTSBORO,AL,35769,256-574-6866 (TRAVEL CENTER),15,2,0,0,,,,,,,,,,,,,,,,,,,
1,Alabama,GRUB MART #13,location_details.php?id=10181,http://www.rvandtravelers.com/location_details.php?id=10181,RVer,ind_dealer_1,,,US 411,1700 W MAIN ST,CENTRE,AL,35960,256-927-7700 (TRAVEL CENTER),15,4,0,0,0,0,,,,,,,,,,,,,,,,,
1,Alabama,H&K,location_details.php?id=54375,http://www.rvandtravelers.com/location_details.php?id=54375,RVer,ind_dealer_1,,,AL 14,1358 HOLTVILLE RD,WETUMPKA,AL,36092,334-567-5673 (TRAVEL CENTER),5,3,0,0,0,0,334-567-5673 (HUNT BROTHERS PIZZA),,,,,,,,,,,,,,,,
1,Alabama,HANDI-MART,location_details.php?id=10105,http://www.rvandtravelers.com/location_details.php?id=10105,RVer,ind_dealer_1,,,AL 159,1705 GORDO RD SW,FAYETTE,AL,35555,205-932-7676 (TRAVEL CENTER),2,2,0,0,,,,,,,,,,,,,,,,,,,
1,Alabama,HAPPY'S CHEVRON #3,location_details.php?id=54383,http://www.rvandtravelers.com/location_details.php?id=54383,RVer,bp-,,,AL 184,3800 E 2ND ST,MUSCLE SHOALS,AL,35661,256-383-0831 (TRAVEL CENTER),7,4,0,0,0,0,,256-383-0831,,,,,,,,,,,,,,,
1,Alabama,HEADCO TRUCK STOP,location_details.php?id=1308,http://www.rvandtravelers.com/location_details.php?id=1308,RVer,citgo,,,I-65,2646 LAY DAM RD,CLANTON,AL,35045,205-755-0758 (TRAVEL CENTER),25,3,0,0,0,25,,205-755-0758,212,,,,,,,,,,,,,,
1,Alabama,HERNDON OIL #103,location_details.php?id=54388,http://www.rvandtravelers.com/location_details.php?id=54388,RVer,citgo,,,US 431 S,16326 US 431,HEADLAND,AL,36345,334-693-3971 (TRAVEL CENTER),0,4,0,0,0,0,,334-693-2451,,,,,,,,,,,,,,,
1,Alabama,HIGHLAND HOME SHELL,location_details.php?id=10178,http://www.rvandtravelers.com/location_details.php?id=10178,RVer,ind_dealer_1,,,US 331,19020 MONTGOMERY HWY,HIGHLAND HOME,AL,36041,334-537-9762,12,2,0,0,0,12,,,,,,,,,,,,,,,,,
1,Alabama,HIGHWAY 431 CHEVRON,location_details.php?id=54392,http://www.rvandtravelers.com/location_details.php?id=54392,RVer,chevron,,,US 280,3600 US 431 N,PHENIX CITY,AL,36867,334-291-9669 (TRAVEL CENTER),0,1,0,0,0,0,,,,,,,,,,,,,,,,,
1,Alabama,HILL'S TRUCK STOP,location_details.php?id=10090,http://www.rvandtravelers.com/location_details.php?id=10090,RVer,marathon,,,AL 67/24,2508 GORDON TERRY PKWY,DECATUR,AL,35601,256-355-2556 (TRAVEL CENTER),20,3,0,0,0,0,,,,,,,,,,,,,,,,,
1,Alabama,HOBO PANTRY,location_details.php?id=10157,http://www.rvandtravelers.com/location_details.php?id=10157,RVer,chevron,,,US 231,7612 US 231 S,BRUNDIDGE,AL,36010,334-735-2999 (TRAVEL CENTER),2,2,0,0,0,0,,,,,,,,,,,,,,,,,
1,Alabama,HOBO PANTRY # 6,location_details.php?id=18452,http://www.rvandtravelers.com/location_details.php?id=18452,RVer,chevron,,,US 431,735 ROSS CLARK CIRCLE,DOTHAN,AL,36303,334-793-9306,25,4,0,0,0,0,,,,,,,,,,,,,,,,,
1,Alabama,HOBO PANTRY #18,location_details.php?id=54397,http://www.rvandtravelers.com/location_details.php?id=54397,RVer,ind_dealer_1,,,US 431,16566 US 431 N,HEADLAND,AL,36345,334-693-5000 (TRAVEL CENTER),10,2,0,0,0,0,334-693-5000 (KRISPY KRUNCHY CHICKEN),,,,,,,,,,,,,,,,
