ADDRESS,AKA,BUSINESS_NAME,BUSINESS_URL,CATEGORIES,EXTRA_PHONES,FORMATTED_PHONE,JSONLD_CITY_1,JSONLD_LAT_1,JSONLD_LNG_1,JSONLD_NAME_1,JSONLD_PHONE_1,JSONLD_STATE_1,JSONLD_STREET_1,JSONLD_ZIP_1,ORIGINAL_PHONE,PHONE,SCRAPED_AT,SEARCH_URL,STATUS,WEBSITE
"200 S 200 WCoalville, UT 84017",,Phillips 66,https://www.yellowpages.com/coalville-ut/mip/phillips-66-512990363,Gas Stations,,,Coalville,40.91481,-111.39134,Phillips 66,(435) 336-4421,UT,200 S 200 W,84017,435-336-4421,(435) 336-4421Call,2025-07-07T04:11:50.073Z,https://www.yellowpages.com/search?search_terms=435+336+4421,,http://www.phillips66gas.com
"200 W 500 SCoalville, UT 84017",,Phillips 66,https://www.yellowpages.com/coalville-ut/mip/phillips-66-559578913,Gas Stations,,,Coalville,40.9085,-111.3703,Phillips 66,(435) 336-4421,UT,200 W 500 S,84017,435-336-4421,(435) 336-4421Call,2025-07-07T04:11:53.749Z,https://www.yellowpages.com/search?search_terms=435+336+4421,,https://www.phillips66gas.com
"212 S 500 WCoalville, UT 84017",,Phillips 66,https://www.yellowpages.com/coalville-ut/mip/phillips-66-578775392,Gas Stations,,,Coalville,40.909794,-111.401375,Phillips 66,(435) 336-4421,UT,212 S 500 W,84017,435-336-4421,(435) 336-4421Call,2025-07-07T04:11:57.455Z,https://www.yellowpages.com/search?search_terms=435+336+4421,,https://www.phillips66gas.com/station/66-HOLIDAY-HILLS-0000819688
"1590 S Highway 40Heber City, UT 84032",,Subway,https://www.yellowpages.com/heber-city-ut/mip/subway-512313932,"Fast Food Restaurants, Restaurants, Sandwich Shops",,,Heber City,40.487484,-111.407845,Subway,(435) 654-4642,UT,1590 S Highway 40,84032,435-654-4642,(435) 654-4642Call,2025-07-07T04:12:06.979Z,https://www.yellowpages.com/search?search_terms=435+654+4642,,https://restaurants.subway.com/united-states/ut/heber/1590-south-highway-40?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=65636&utm_campaign=evergreen-2020&y_source=1_MTQ4OTc3MjEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
"1590 S Highway 40Heber City, UT 84032","Silver Eagle Country Store, K & T's Silver Eagle",Silver Eagle,https://www.yellowpages.com/heber-city-ut/mip/silver-eagle-503945875,"Convenience Stores, Gas Stations, Variety Stores",435 654 1951,,Heber City,40.487484,-111.407845,Silver Eagle,(435) 654-4642,UT,1590 S Highway 40,84032,435-654-4642,(435) 654-4642Call,2025-07-07T04:12:09.901Z,https://www.yellowpages.com/search?search_terms=435+654+4642,,https://www.rhinehartoil.com
"1590 S Highway 40Heber City, UT 84032",,Subway,https://www.yellowpages.com/heber-city-ut/mip/subway-512313932?lid=512313932#gallery,"Fast Food Restaurants, Restaurants, Sandwich Shops",,,Heber City,40.487484,-111.407845,Subway,(435) 654-4642,UT,1590 S Highway 40,84032,435-654-4642,(435) 654-4642Call,2025-07-07T04:12:13.054Z,https://www.yellowpages.com/search?search_terms=435+654+4642,,https://restaurants.subway.com/united-states/ut/heber/1590-south-highway-40?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=65636&utm_campaign=evergreen-2020&y_source=1_MTQ4OTc3MjEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
"885 Northpointe CirNorth Salt Lake, UT 84054",Western Union Agent Location,Western Union,https://www.yellowpages.com/north-salt-lake-ut/mip/western-union-502909440,"Money Transfer Service, Money Order Service",901 465 4551,,North Salt Lake,40.83657,-111.93377,Western Union,(801) 936-1408,UT,885 Northpointe Cir,84054,801-936-1408,(801) 936-1408Call,2025-07-07T04:12:22.820Z,https://www.yellowpages.com/search?search_terms=801+936+1408,,https://www.westernunion.com/global-services/find-locations/us/ut/north-salt-lake/1a30c5dc46493dcac9a0e6c181838987
"885 Eagle Point CirNorth Salt Lake, UT 84054",,Pilot Travel Centers,https://www.yellowpages.com/north-salt-lake-ut/mip/pilot-travel-centers-537273499,"Truck Stops, Diesel Fuel, Gas Stations",801 936 1457,,North Salt Lake,40.82545,-111.899956,Pilot Travel Centers,(801) 936-1408,UT,885 Eagle Point Cir,84054,801-936-1408,(801) 936-1408Call,2025-07-07T04:12:26.165Z,https://www.yellowpages.com/search?search_terms=801+936+1408,,http://www.pilotflyingj.com
"885 Northpointe CirNorth Salt Lake, UT 84054",Western Union Agent Location,Western Union,https://www.yellowpages.com/north-salt-lake-ut/mip/western-union-502909440?lid=502909440#gallery,"Money Transfer Service, Money Order Service",901 465 4551,,North Salt Lake,40.83657,-111.93377,Western Union,(801) 936-1408,UT,885 Northpointe Cir,84054,801-936-1408,(801) 936-1408Call,2025-07-07T04:12:29.687Z,https://www.yellowpages.com/search?search_terms=801+936+1408,,https://www.westernunion.com/global-services/find-locations/us/ut/north-salt-lake/1a30c5dc46493dcac9a0e6c181838987
"7100 Silver Creek RdPark City, UT 84098",,Sinclair Gas Station,https://www.yellowpages.com/park-city-ut/mip/sinclair-gas-station-476008800,"Gas Stations, Convenience Stores",,,Park City,40.73355,-111.498886,Sinclair Gas Station,(435) 649-9243,UT,7100 Silver Creek Rd,84098,435-649-9243,(435) 649-9243Call,2025-07-07T04:12:39.934Z,https://www.yellowpages.com/search?search_terms=435+649+9243,,
"7100 Silver Creek RdPark City, UT 84098",,Subway,https://www.yellowpages.com/park-city-ut/mip/subway-530022502,"Fast Food Restaurants, Restaurants, Sandwich Shops",,,Park City,40.73355,-111.498886,Subway,(435) 649-9243,UT,7100 Silver Creek Rd,84098,435-649-9243,(435) 649-9243Call,2025-07-07T04:12:42.946Z,https://www.yellowpages.com/search?search_terms=435+649+9243,,https://restaurants.subway.com/united-states/ut/park-city/7100-silver-creek-road?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=67161&utm_campaign=evergreen-2020&y_source=1_MTQ5MDIyNjUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
"7100 Silver Creek RdPark City, UT 84098",Cng America - Bells Silver Creek - Sinclair,Bells Silver Creek,https://www.yellowpages.com/park-city-ut/mip/bells-silver-creek-458137400,"Pizza, Convenience Stores, Restaurants",435 649 9245,,Park City,40.73355,-111.498886,Bells Silver Creek,(435) 649-9243,UT,7100 Silver Creek Rd,84098,435-649-9243,(435) 649-9243Call,2025-07-07T04:12:46.659Z,https://www.yellowpages.com/search?search_terms=435+649+9243,,https://am-best.com
"1128 W Highway 40Roosevelt, UT 84066","Top Stop Convenience Store, Chevron Station #355740, Top Stop #66",Chevron,https://www.yellowpages.com/roosevelt-ut/mip/chevron-503084774,"Gas Stations, Convenience Stores","800 403 6142, 801 489 3212",,Roosevelt,40.283314,-110.01142,Chevron,(435) 722-9940,UT,1128 W Highway 40,84066,435-722-9940,(435) 722-9940Call,2025-07-07T04:12:56.868Z,https://www.yellowpages.com/search?search_terms=435+722+9940,,http://chevronwithtechron.com
"1128 W Highway 40Roosevelt, UT 84066","Top Stop Convenience Store, Chevron Station #355740, Top Stop #66",Chevron,https://www.yellowpages.com/roosevelt-ut/mip/chevron-503084774#photo-gallery,"Gas Stations, Convenience Stores","800 403 6142, 801 489 3212",,Roosevelt,40.283314,-110.01142,Chevron,(435) 722-9940,UT,1128 W Highway 40,84066,435-722-9940,(435) 722-9940Call,2025-07-07T04:12:58.914Z,https://www.yellowpages.com/search?search_terms=435+722+9940,,http://chevronwithtechron.com
"8836 Clinton Landing RdTooele, UT 84074",Western Union Agent Location,Western Union,https://www.yellowpages.com/tooele-ut/mip/western-union-502909171,"Money Transfer Service, Money Order Service",217 277 0466,,Tooele,40.689903,-112.26376,Western Union,(801) 250-8585,UT,8836 Clinton Landing Rd,84074,801-250-8585,(801) 250-8585Call,2025-07-07T04:13:09.065Z,https://www.yellowpages.com/search?search_terms=801+250+8585,,https://www.westernunion.com/global-services/find-locations/us/ut/tooele/0ee808d1d5412ebe48d8f8254949dc89
